id,reason,created_at,block_user_id,user_id
1,그냥...,"2023-05-04 23:01:53",867483,878476
2,"친구 사이가 어색해짐","2023-05-05 01:17:08",867190,867564
3,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-05 01:50:55",875110,875261
6,그냥...,"2023-05-05 05:21:52",883696,883511
7,그냥...,"2023-05-05 06:40:34",871349,870177
8,기타,"2023-05-05 10:23:15",846967,880109
9,"친구 사이가 어색해짐","2023-05-05 10:40:29",862748,851631
11,"친구 사이가 어색해짐","2023-05-05 12:19:37",885588,875490
12,기타,"2023-05-05 13:04:31",885794,879662
13,기타,"2023-05-05 13:04:42",885794,879662
14,그냥...,"2023-05-05 13:04:52",885794,879662
15,기타,"2023-05-05 13:04:56",885794,879662
16,기타,"2023-05-05 13:05:01",885794,879662
17,"친구 사이가 어색해짐","2023-05-05 13:17:19",886605,881070
18,"친구 사이가 어색해짐","2023-05-05 13:17:26",886605,881070
19,"친구 사이가 어색해짐","2023-05-05 15:08:49",849941,853296
21,그냥...,"2023-05-05 15:36:34",887434,881108
22,"친구 사이가 어색해짐","2023-05-05 15:39:54",882164,856484
27,그냥...,"2023-05-05 16:03:55",874270,856647
28,기타,"2023-05-05 16:22:38",887178,884524
29,"친구 사이가 어색해짐","2023-05-05 16:35:07",856407,857101
31,"친구 사이가 어색해짐","2023-05-05 17:09:19",886096,880836
32,기타,"2023-05-05 17:21:40",890159,888251
33,"친구 사이가 어색해짐","2023-05-05 17:45:47",847255,855853
34,"친구 사이가 어색해짐","2023-05-05 22:36:07",887976,884379
35,"친구 사이가 어색해짐","2023-05-06 00:45:26",876643,879067
38,"모르는 사람임","2023-05-06 01:46:20",890926,890763
39,"모르는 사람임","2023-05-06 01:50:00",890917,890763
40,"친구 사이가 어색해짐","2023-05-06 02:15:59",875213,885214
41,"친구 사이가 어색해짐","2023-05-06 02:21:16",875213,885214
43,"모르는 사람임","2023-05-06 02:45:32",868657,862960
44,"너무 많은 양의 질문을 보냄","2023-05-06 02:46:30",859119,852754
45,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 03:10:34",867341,859864
46,"모르는 사람임","2023-05-06 03:10:38",861993,857629
47,"모르는 사람임","2023-05-06 03:10:47",861993,857629
50,"모르는 사람임","2023-05-06 04:01:35",860304,885453
53,"모르는 사람임","2023-05-06 04:26:19",842335,847651
54,"모르는 사람임","2023-05-06 04:31:34",891634,888475
55,"모르는 사람임","2023-05-06 04:33:35",841659,893190
59,"모르는 사람임","2023-05-06 05:00:54",863270,879374
60,"모르는 사람임","2023-05-06 05:12:44",885940,851519
61,"친구 사이가 어색해짐","2023-05-06 05:13:03",846630,851519
64,"모르는 사람임","2023-05-06 05:18:41",875786,871350
65,"모르는 사람임","2023-05-06 05:19:27",877540,871350
66,"친구 사이가 어색해짐","2023-05-06 05:28:54",860503,857629
67,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 05:34:08",863828,866359
68,"친구 사이가 어색해짐","2023-05-06 05:34:20",885257,894208
72,"친구 사이가 어색해짐","2023-05-06 06:04:28",892692,883543
79,"친구 사이가 어색해짐","2023-05-06 06:31:09",885923,867967
81,"사칭 계정","2023-05-06 06:53:22",846359,845499
82,"친구 사이가 어색해짐","2023-05-06 06:53:47",890172,891662
83,"친구 사이가 어색해짐","2023-05-06 06:59:02",867323,878947
84,"친구 사이가 어색해짐","2023-05-06 07:11:35",888001,881467
85,"친구 사이가 어색해짐","2023-05-06 07:11:45",896068,881467
86,"모르는 사람임","2023-05-06 07:26:20",847572,882221
87,"모르는 사람임","2023-05-06 07:26:31",848046,882221
88,"모르는 사람임","2023-05-06 07:27:57",860384,862683
90,"모르는 사람임","2023-05-06 07:38:25",883359,889686
91,"친구 사이가 어색해짐","2023-05-06 07:43:12",895162,876750
92,"친구 사이가 어색해짐","2023-05-06 07:43:24",894627,876750
