id,productId,phone_type,created_at,user_id
6,heart.200,A,"2023-05-14 05:49:22",1055891
7,heart.777,A,"2023-05-14 08:17:21",1152151
8,heart.777,A,"2023-05-14 10:11:46",986200
9,heart.1000,A,"2023-05-14 11:53:09",1028261
10,heart.777,A,"2023-05-14 12:30:47",1235730
11,heart.777,A,"2023-05-14 14:17:32",1039257
12,heart.777,A,"2023-05-14 15:38:04",1203452
13,heart.777,A,"2023-05-14 16:02:32",1202936
14,heart.777,A,"2023-05-14 16:58:25",1151775
15,heart.777,A,"2023-05-15 04:45:10",1060915
18,heart.777,A,"2023-05-15 11:09:53",1157865
19,heart.777,A,"2023-05-15 14:30:10",1237884
20,NULL,I,"2023-05-15 16:26:51",1153256
21,NULL,I,"2023-05-16 03:16:37",1230712
22,NULL,I,"2023-05-16 06:40:04",1277817
23,NULL,I,"2023-05-16 07:40:32",1254768
24,heart.777,A,"2023-05-16 08:57:12",1222335
25,heart.777,A,"2023-05-16 10:05:34",1194594
26,NULL,I,"2023-05-16 11:31:51",1189806
27,NULL,I,"2023-05-16 12:19:53",918859
28,NULL,I,"2023-05-16 12:19:54",1250956
29,NULL,I,"2023-05-16 12:47:51",1176152
30,NULL,I,"2023-05-16 12:51:14",1185865
31,NULL,I,"2023-05-16 12:57:17",1273301
32,NULL,I,"2023-05-16 13:51:35",878664
33,heart.777,A,"2023-05-16 14:07:33",1101783
34,NULL,I,"2023-05-17 01:55:49",1219585
35,NULL,I,"2023-05-17 07:01:10",1274923
36,NULL,I,"2023-05-17 08:09:24",1206594
37,NULL,I,"2023-05-17 08:32:37",1130446
38,NULL,I,"2023-05-17 08:54:12",1068030
39,NULL,I,"2023-05-17 09:52:04",1146622
40,NULL,I,"2023-05-17 09:56:31",1172964
41,NULL,I,"2023-05-17 10:35:30",1122654
42,NULL,I,"2023-05-17 11:11:50",1272130
43,heart.777,A,"2023-05-17 13:14:52",1338646
44,NULL,I,"2023-05-18 02:53:25",1271736
45,NULL,I,"2023-05-18 06:13:12",1215666
46,NULL,I,"2023-05-18 07:51:06",1303789
47,NULL,I,"2023-05-18 09:21:02",1276484
48,NULL,I,"2023-05-18 10:45:35",1353559
49,NULL,I,"2023-05-18 12:22:35",1231431
