id,grade,class_num,school_id
1,1,1,1
8,3,2,1
9,3,3,1
10,2,2,1
11,2,3,1
12,2,1,1
16,1,1,30
17,1,1,5925
18,2,2,2363
19,1,1,2380
20,2,3,281
21,1,1,281
22,1,1,1990
23,3,5,271
24,2,2,1990
25,3,3,2363
26,1,2,4185
27,1,1,4185
28,1,1,4058
29,2,3,1990
30,3,2,282
31,3,5,282
32,2,1,282
33,1,1,2696
34,3,7,1905
35,1,10,5464
36,1,1,282
37,3,1,281
38,1,3,272
39,1,8,281
40,1,6,272
41,1,5,272
42,1,9,272
43,2,7,281
44,2,3,289
45,2,7,323
46,1,10,272
47,3,6,281
48,1,10,281
49,2,8,289
50,2,9,272
51,3,3,272
52,1,1,4523
53,2,6,272
54,2,6,2159
55,1,5,5030
56,1,9,268
57,3,9,272
58,3,1,2078
59,3,2,272
60,1,11,281
61,1,12,272
62,1,1,5030
63,3,1,1877
64,2,1,4732
65,3,5,234
66,2,3,5016
67,2,11,5016
68,1,2,5062
69,2,8,5023
70,2,14,5034
71,1,5,268
72,2,3,5081
73,1,10,5420
74,3,2,5064
75,1,2,4773
76,3,3,1129
77,1,1,399
78,3,3,10
79,3,4,2932
80,1,1,1948
81,3,1,2577
82,1,1,4490
83,3,4,3688
84,3,3,5034
85,1,3,4461
86,3,8,3852
87,1,8,1837
88,3,4,2241
89,2,8,5463
90,3,1,5007
91,2,5,5029
92,3,5,2193
93,2,3,2263
94,3,20,2178
96,3,1,4961
97,3,2,5100
98,3,7,4536
99,2,3,514
100,2,10,289
101,1,14,289
102,1,1,2434
103,3,10,4488
104,2,4,4957
105,3,19,4494
106,1,1,272
107,3,2,1972
108,1,5,2130
109,3,6,5052
110,1,6,2395
111,1,7,4632
112,3,2,314
113,1,7,281
114,3,3,1981
115,3,1,485
116,3,4,1451
117,2,8,1451
118,3,5,1451
119,3,1,1980
120,3,1,4929
121,3,1,1923
122,3,1,1
123,3,4,3540
124,3,4,3511
125,3,5,3511
126,3,6,3538
127,1,2,3516
128,2,7,3516
129,3,3,3561
130,2,1,272
131,2,1,1571
133,3,3,2265
135,3,2,2203
137,1,3,3550
138,1,1,3550
139,2,1,782
140,3,3,676
141,1,8,5086
142,2,7,5058
143,1,6,5141
144,2,7,3538
145,2,7,2394
146,2,3,797
147,3,11,1952
148,3,1,1981
149,3,1,314
150,1,5,323
151,2,4,323
152,3,8,2062
153,1,4,312
154,2,6,323
155,1,8,323
156,1,6,2062
157,3,11,289
158,1,4,2062
159,2,4,2062
160,1,7,2062
161,2,7,2062
162,2,1,2062
163,1,7,312
164,3,7,314
165,3,10,2062
166,2,5,2062
167,2,17,2062
168,3,5,323
169,3,1,2062
170,2,3,323
171,1,2,323
172,2,3,2062
173,1,2,312
174,2,8,323
175,1,3,2062
176,2,6,2062
177,1,2,268
178,1,10,292
179,1,2,2062
180,1,6,323
181,2,5,323
182,3,8,323
183,3,7,2062
184,2,10,2062
185,2,9,2062
186,1,3,323
187,1,1,323
188,3,2,312
189,1,5,2062
190,1,5,312
191,1,10,2062
192,2,2,2062
193,1,1,2062
194,1,9,2062
195,1,1,312
196,2,6,2043
197,1,9,312
198,2,8,2062
199,3,9,312
200,1,4,2071
201,2,9,2071
202,3,5,2062
203,1,9,2043
204,1,8,2062
205,2,9,312
206,3,6,2062
207,1,3,2061
208,1,2,277
209,3,2,2062
210,2,6,2061
211,3,6,312
212,1,9,292
213,3,3,314
214,2,2,314
215,1,7,2068
216,1,7,300
217,1,5,314
218,1,10,312
219,1,3,300
220,1,7,323
221,3,6,323
222,2,6,2068
223,3,1,323
224,1,8,312
225,2,4,2076
226,3,3,2062
227,1,20,1
228,1,4,2077
229,2,7,2072
230,2,4,312
231,2,1,2061
232,3,3,313
233,1,12,271
234,2,1,312
235,1,10,2078
236,3,3,323
237,1,7,2132
238,2,4,314
239,2,4,289
240,1,3,2048
241,2,7,314
242,2,4,2066
243,1,3,2054
244,3,7,312
245,3,1,2061
246,1,5,2559
247,1,1,2556
248,3,8,314
249,1,4,2604
250,1,5,2159
251,1,7,2075
252,2,1,323
253,2,5,314
254,2,4,2212
255,1,6,2078
256,1,3,2082
257,1,6,2550
258,1,2,2559
259,2,12,2057
260,1,10,2071
261,1,1,2041
262,3,4,2062
263,1,5,2043
264,2,7,2043
265,1,4,2602
266,3,3,2061
267,3,3,2063
268,1,7,2071
269,1,2,2066
270,3,1,4048
271,2,1,314
272,1,9,2078
273,2,8,2048
274,1,3,312
275,1,9,1895
276,2,11,2071
277,2,1,2048
278,1,1,2592
279,1,1,2048
280,1,5,2078
281,1,2,2043
283,1,7,2043
284,2,3,314
285,1,9,2066
286,2,11,2057
287,2,4,296
288,1,3,292
289,1,2,2054
290,1,3,2071
291,2,2,2043
292,2,1,2043
293,2,5,2043
294,3,9,2062
295,1,6,2071
296,2,2,323
297,1,7,2082
298,3,3,2060
299,1,3,2043
300,2,9,2043
301,1,8,3295
302,2,8,2152
303,2,20,323
304,1,1,2079
305,3,5,2063
306,2,6,2602
307,1,20,2062
308,2,2,324
309,1,5,2048
310,3,5,314
311,2,7,2068
312,1,9,2608
313,2,2,2060
314,3,3,2072
315,2,4,5727
316,3,4,4548
317,2,10,2043
318,2,10,2057
319,3,2,2063
320,2,6,314
321,2,2,369
322,2,3,1853
323,2,8,2043
324,1,2,2078
325,2,3,300
326,3,3,312
327,3,7,2172
328,1,3,2075
329,1,1,2043
330,2,6,2604
331,3,4,2074
332,3,3,2077
333,1,10,2079
334,2,3,296
335,1,17,2078
336,2,12,2071
337,2,6,2071
338,3,6,2565
339,1,5,2075
340,3,7,2043
341,2,5,2057
342,2,11,2559
343,1,9,2223
344,1,10,2043
345,2,3,2057
346,1,1,2559
347,2,2,528
348,1,4,2068
349,2,5,2602
350,2,7,2066
351,3,8,5581
352,1,4,2008
353,2,6,2546
354,2,8,2541
355,2,4,2068
356,2,10,271
357,1,10,2044
358,2,8,2071
359,2,7,2071
360,2,1,2071
361,2,5,5213
362,2,9,2048
363,2,2,2075
364,1,6,2048
365,2,4,2043
366,3,2,2071
367,2,3,2579
368,2,4,2041
369,2,4,2059
370,1,6,2080
371,1,2,2068
372,1,2,2073
373,2,11,5402
374,2,13,2071
375,1,6,2068
376,2,4,2071
377,2,3,2071
378,1,11,2071
379,1,1,2510
380,2,6,4547
381,2,4,2089
382,2,10,2071
383,1,5,2072
384,1,1,2132
385,1,5,2073
386,2,2,2071
387,1,1,1776
388,2,10,2945
389,1,11,2559
390,1,4,2078
391,2,6,2072
392,2,6,2057
393,2,3,2078
394,2,4,2072
395,1,5,2546
396,2,5,2071
397,2,10,312
398,2,7,2078
399,2,6,2078
400,2,7,2075
401,2,12,5454
402,2,3,2075
403,2,1,3479
404,2,6,2075
405,2,8,2075
406,2,5,2075
407,2,20,2043
408,3,1,2072
409,1,7,2404
410,2,1,2075
411,1,13,2071
412,2,3,2063
413,2,2,2051
414,1,3,2059
415,1,8,2075
416,1,7,2059
417,2,9,2075
418,2,2,2156
419,2,6,302
420,2,8,2041
421,1,4,2043
422,2,3,2152
423,2,4,2085
424,1,3,2060
425,1,4,2542
426,1,11,2048
427,2,7,2041
428,3,8,2132
429,3,1,4547
430,1,1,2075
431,1,9,2068
432,2,1,2082
433,2,6,2041
434,2,10,2066
435,2,5,5109
436,1,6,2043
437,2,3,2041
438,1,9,2075
439,2,6,2047
440,2,5,2041
441,2,5,4547
442,1,2,2542
443,2,2,2041
444,3,8,2086
445,1,1,2542
446,1,3,5580
447,2,9,2047
448,2,3,4547
449,2,1,2059
450,3,5,2059
451,1,7,1984
452,1,7,2078
453,1,5,2080
454,2,3,2535
455,1,2,2057
456,1,3,2066
457,1,7,2070
458,3,2,2531
459,1,1,2078
460,1,7,2168
461,2,11,2059
462,2,2,2602
463,1,8,2607
464,1,6,2553
465,1,10,2048
466,1,13,2544
467,1,3,2041
468,3,2,2061
469,3,6,314
470,2,1,2080
472,3,7,2071
473,3,10,2159
474,3,1,5722
475,2,5,2078
476,1,4,2132
477,1,3,2559
478,1,7,2544
479,1,6,2172
480,1,11,2556
481,2,9,2044
482,2,1,2084
483,2,2,2073
484,3,6,2069
485,3,7,2069
486,3,4,2063
487,3,5,2069
488,1,5,4529
489,2,6,1752
490,2,4,2075
491,1,5,2051
492,2,2,2066
493,1,2,2153
494,1,2,2048
495,1,2,2075
496,3,6,2061
497,2,8,2132
498,1,8,2542
499,1,6,2075
500,3,20,2045
501,1,1,1819
502,1,7,2080
503,2,4,2078
504,2,4,3408
505,2,9,2546
506,2,11,2080
507,2,3,2048
508,2,1,2078
509,3,1,2330
510,3,8,5214
511,1,3,2078
512,2,8,2078
513,1,15,2212
514,1,7,2602
515,2,1,2041
516,2,9,2078
517,2,9,4539
518,2,10,2078
519,1,15,271
520,2,9,2057
521,1,2,1496
522,2,8,5197
523,2,3,1496
524,2,1,2525
525,1,7,2462
526,1,7,2041
527,2,8,4241
528,2,9,5197
529,2,3,2084
530,2,2,2059
531,1,3,1496
532,1,3,2546
533,2,3,2040
534,1,8,2068
535,2,7,2080
536,3,1,2438
537,2,3,2601
538,1,8,2544
539,2,2,1591
540,2,6,5197
541,1,10,1883
542,2,2,5213
543,2,4,2063
544,3,3,1496
545,1,5,2068
546,2,2,2078
547,1,2,2556
548,1,3,2522
549,2,8,2068
550,2,2,1496
551,3,6,2077
552,1,7,2051
553,2,5,2063
554,2,6,2079
555,2,1,2063
556,2,2,2370
557,2,1,1496
558,1,9,2071
559,2,5,2561
560,1,12,2544
561,2,10,5363
562,2,1,2057
563,2,5,2079
564,2,4,5363
565,2,11,2571
566,1,8,2043
567,2,9,5357
568,1,4,2041
569,2,4,268
570,2,4,1752
571,1,8,2132
572,1,7,5363
573,2,11,2529
574,1,4,1893
575,1,5,992
576,2,4,5060
577,1,3,2132
578,2,3,2077
579,3,4,2043
580,2,9,2588
581,1,6,5363
582,2,6,5363
583,2,2,2082
584,3,10,1895
585,3,2,2078
586,2,9,5454
587,3,7,4703
588,2,6,2048
589,1,6,5569
590,1,11,2588
591,3,4,2078
592,2,8,1532
593,2,3,2651
594,3,6,2255
595,3,5,2545
596,2,7,2546
597,3,9,2545
598,2,3,2072
599,1,2,2548
600,1,2,1895
601,2,4,5096
602,1,10,2077
603,2,4,271
604,2,5,2529
605,2,2,2601
606,2,4,2051
607,2,1,1931
608,2,1,2601
609,2,4,2601
610,1,2,3166
611,1,4,2268
612,2,10,2051
613,2,1,1914
614,1,8,2057
615,3,5,2041
616,1,10,2066
617,2,4,2048
618,3,2,5327
619,3,6,5044
620,2,2,109
621,2,5,2061
622,3,3,2073
623,2,7,2079
624,2,8,2601
625,1,9,3144
626,2,2,2168
627,2,6,2073
628,2,11,2079
629,1,8,2529
630,2,3,1404
631,1,3,2548
632,3,3,2042
633,3,2,3363
634,2,5,1378
635,2,10,2079
636,1,5,2607
637,1,6,2041
638,2,6,4761
639,2,2,2207
640,2,10,2048
641,1,2,2510
642,2,7,2602
643,2,5,2510
644,2,5,2308
645,2,4,2082
646,2,3,2082
647,2,5,2082
648,3,8,5399
649,2,6,2082
650,1,10,2051
651,1,12,2057
652,1,1,2051
653,2,7,2082
654,1,1,2080
655,3,3,2495
656,2,9,2559
657,1,8,2078
658,2,2,2510
659,2,8,2079
660,1,7,1
661,2,5,2060
662,3,1,2069
663,1,4,2075
664,1,1,1548
665,1,6,2070
666,1,6,2044
667,3,1,2197
668,1,7,2085
669,1,4,2073
671,1,6,2073
672,2,4,4213
673,1,5,2070
674,2,3,5270
675,2,9,1397
676,2,10,5214
677,3,4,1397
678,2,10,1397
679,1,1,2063
680,3,2,2391
681,3,1,185
682,1,9,300
683,2,4,5214
684,2,5,2058
685,2,5,2059
686,1,4,4547
687,3,4,2067
688,3,7,4814
689,2,3,5328
690,1,2,4893
691,3,8,3045
692,1,1,3032
693,3,5,5253
694,3,10,2029
695,1,4,4148
696,3,2,4547
697,1,7,4821
698,2,7,2561
699,1,6,676
700,3,2,5574
701,2,7,4547
702,2,6,1826
703,2,4,2561
704,1,7,2881
705,2,2,5503
706,2,3,3663
707,3,1,5636
708,1,7,4547
709,3,2,5243
710,2,6,5290
711,2,1,4653
712,1,1,543
713,2,1,2317
714,2,5,2526
715,1,1,2346
716,1,4,1675
717,2,5,2073
718,3,3,2222
719,2,4,5855
720,3,12,4497
721,3,1,1167
722,3,9,5295
723,2,2,2085
724,1,6,4817
725,3,1,5247
726,2,2,272
727,1,2,5094
728,3,2,3818
729,1,10,4547
730,3,4,1849
731,2,8,4520
732,2,6,5075
733,1,4,2546
734,3,2,4548
735,3,2,5247
736,2,3,4501
737,2,4,1994
738,2,3,5214
739,1,7,2212
740,2,7,3101
741,2,1,4548
742,3,6,4293
743,2,4,4602
744,3,4,4106
745,3,3,2591
746,1,10,4049
747,1,5,1771
748,1,15,15
749,1,9,2772
750,1,15,2019
751,2,2,2390
752,1,8,5051
753,1,3,4336
754,1,5,3240
755,1,1,4761
756,2,1,4433
757,2,11,271
758,1,6,2956
759,2,7,2881
760,1,12,4368
761,1,5,75
762,2,12,5328
763,3,4,5802
764,2,2,2048
765,3,7,4912
766,3,4,1311
767,1,3,2529
768,1,5,2041
769,2,6,811
770,1,2,2419
771,3,6,324
772,3,6,1883
773,2,8,5328
774,3,1,2450
775,2,3,2936
776,2,1,5328
777,2,1,5461
778,1,3,5040
779,1,11,2412
780,2,7,4433
781,3,6,4458
782,2,6,5054
783,2,15,2046
784,2,3,75
785,3,5,586
786,2,5,2068
787,3,2,5546
788,3,3,4548
789,2,3,5220
790,2,4,2079
791,1,4,5498
792,1,6,2203
793,1,2,4504
794,1,9,2048
795,2,10,5328
796,1,4,5138
797,1,2,2625
798,1,7,3129
799,1,15,2190
800,3,6,2670
801,3,6,5247
802,1,9,2974
803,3,8,4548
804,2,5,2154
805,1,10,1819
806,2,2,4474
807,1,6,1838
808,2,1,5290
809,3,7,5064
810,2,5,75
811,3,9,2395
812,1,12,1827
813,1,5,2518
814,1,11,1819
815,1,2,2681
816,1,1,2099
817,3,7,2396
818,1,12,1819
819,1,6,4538
820,3,2,2085
821,2,3,3150
822,2,6,158
823,2,3,2559
824,1,7,3466
825,1,2,4547
826,3,9,5247
827,2,3,1925
828,2,5,4578
829,2,2,5054
830,3,3,5016
831,2,4,4529
832,1,8,2381
833,2,9,2068
834,1,3,2223
835,2,8,4793
836,1,5,1839
837,2,6,3434
838,1,10,369
839,1,3,2068
840,2,5,713
841,1,8,2071
842,3,1,2401
843,1,4,2048
844,2,4,674
845,3,4,4964
846,3,1,2063
847,1,2,2954
848,3,5,2993
849,2,8,5214
850,2,5,2069
851,3,2,2181
852,2,3,2397
853,3,1,2041
854,2,5,2339
855,2,1,2721
856,3,5,2085
857,2,1,5599
858,3,1,3221
859,3,5,1527
860,2,7,289
861,1,13,1819
862,3,3,1864
863,2,1,559
864,1,2,2346
865,1,5,2118
866,1,3,5177
867,3,12,4503
868,1,10,2372
869,3,7,4548
870,1,8,2048
871,1,5,1881
872,2,20,2078
873,1,8,1819
874,2,12,2079
875,1,2,75
876,1,7,2221
877,3,4,27
878,1,9,4884
879,3,2,2591
880,1,9,4886
881,3,2,109
882,3,6,2060
883,2,6,5328
884,1,2,5391
885,2,6,713
886,3,8,1475
887,2,3,27
888,3,11,4784
889,1,1,4547
890,3,3,2471
891,2,2,2564
892,1,3,5215
893,1,3,2089
894,1,7,2048
895,1,4,28
896,1,12,2346
897,2,7,713
898,1,1,2369
899,1,4,2070
900,1,1,27
901,1,3,2324
902,3,8,2080
903,1,4,1288
904,2,12,2144
905,1,10,2059
906,2,1,751
907,2,5,2064
908,2,1,2060
909,1,6,2190
910,3,7,5247
911,2,4,1099
912,2,3,2349
913,1,5,366
914,1,5,2604
915,1,13,369
916,1,4,369
917,2,2,2063
918,3,10,5247
919,2,4,1990
920,1,1,1310
921,3,2,5227
922,3,16,2046
923,1,3,1288
924,2,2,2064
925,1,10,5153
926,1,3,5249
927,1,2,292
928,1,1,2334
929,1,1,2082
930,1,1,369
931,3,7,1287
932,3,5,1287
933,1,1,1288
934,1,10,4745
935,3,6,1287
936,3,4,5247
937,1,6,4547
938,1,5,2979
939,2,3,2060
940,1,2,1288
941,3,4,1287
942,3,4,2046
943,2,9,2086
944,1,7,2054
945,2,6,1957
946,1,10,4529
947,1,5,5606
948,3,3,4623
949,1,6,3106
950,1,1,5782
951,1,2,5240
952,2,7,2048
953,3,3,1287
954,2,1,2881
955,1,8,3542
956,2,7,4417
957,1,2,2634
958,1,1,2068
959,1,11,289
960,1,13,4783
961,1,1,2302
962,1,6,27
963,2,7,2601
964,1,1,2071
965,1,1,1048
966,1,6,1841
967,2,5,1309
968,3,5,2068
969,3,4,1309
970,2,3,2043
971,1,3,3106
972,3,6,2537
973,1,1,1309
974,2,5,2048
975,1,5,4547
976,3,1,1309
977,1,5,64
978,2,7,2060
979,1,2,2079
980,1,9,4529
981,2,3,1296
982,1,7,2079
983,2,11,2048
984,3,5,1309
985,1,2,2041
986,2,5,5363
987,1,4,4452
988,3,1,2040
989,2,6,3508
990,3,6,2085
991,2,7,5220
992,3,6,2084
993,3,3,1309
994,1,3,356
995,2,3,2059
996,3,2,4841
997,1,1,2073
998,1,5,2079
999,1,3,2553
1000,1,9,2059
1001,1,9,2546
