id,distance,nearby_school_id,school_id
119021,0.0045635673,6,7
119022,0.010787466,13,7
119023,0.0129276641,20,7
119024,0.0135901993,4,7
119025,0.0141215735,24,7
119026,0.01477377,25,7
119027,0.0160501669,18,7
119028,0.0161354914,26,7
119029,0.0188688621,27,7
119030,0,7,7
119031,0.0040125499,12,8
119032,0.0097217405,32,8
119033,0.0140322819,14,8
119034,0.0181363738,17,8
119035,0.0233985101,30,8
119036,0.025669474,5,8
119037,0.0280969748,36,8
119038,0.038629115,29,8
119039,0.0557879811,31,8
119040,0,8,8
119041,0.0797134787,224,22
119042,0.090322598,146,22
119043,0.1159434513,29,22
119044,0.1270377379,36,22
119045,0.1294982195,5,22
119046,0.136586099,30,22
119047,0.1370470894,220,22
119048,0.1435493618,228,22
119049,0.1447461423,14,22
119050,0,22,22
119051,0.0075502635,24,13
119052,0.0077637251,4,13
119053,0.009577768,6,13
119054,0.010787466,7,13
119055,0.0157437256,25,13
119056,0.0174581064,26,13
119057,0.0186347471,27,13
119058,0.0186347471,28,13
119059,0.0208485235,18,13
119060,0,13,13
119061,0.0129276641,7,20
119062,0.0157890388,18,20
119063,0.0163565502,6,20
119064,0.0197802263,25,20
119065,0.0235161416,13,20
119066,0.0248163845,26,20
119067,0.0248317,24,20
119068,0.0261201821,4,20
119069,0.0280638661,27,20
119070,0,20,20
119071,0.1101300364,18,16
119072,0.1118021438,5957,16
119073,0.1120838181,25,16
119074,0.1162576675,9,16
119075,0.119721749,24,16
119076,0.122776738,20,16
119077,0.1260176673,7,16
119078,0.1269404028,13,16
119079,0.1301669131,6,16
119080,0,16,16
119081,0.0481694464,15,23
119082,0.0523358091,31,23
119083,0.0862708444,164,23
119084,0.101558964,32,23
119085,0.1017370541,17,23
119086,0.1028027794,12,23
119087,0.1057990825,14,23
119088,0.1058507401,8,23
119089,0.1095095399,30,23
119090,0,23,23
119091,0.007016036,25,18
119092,0.0157890388,20,18
119093,0.0160501669,7,18
119094,0.016998663,24,18
119095,0.0204503729,6,18
119096,0.0208485235,13,18
119097,0.0273890803,4,18
119098,0.0305284728,9,18
119099,0.0321815407,26,18
119100,0,18,18
119101,0.0077637251,13,4
119102,0.0097828224,6,4
119103,0.0112147084,26,4
119104,0.0115228001,27,4
119105,0.0115228001,28,4
119106,0.0135901993,7,4
119107,0.0152307574,24,4
119108,0.0231012761,25,4
119109,0.0261201821,20,4
119110,0,4,4
119111,0.0321172149,33,11
119112,0.0546499223,21,11
119113,0.0633442081,10,11
119114,0.0831076476,34,11
119115,0.0977047239,169,11
119116,0.0978647812,172,11
119117,0.1012210828,168,11
119118,0.1074985998,171,11
119119,0.133870598,12,11
119120,0,11,11
119121,0.0045635673,7,6
119122,0.009577768,13,6
119123,0.0097828224,4,6
119124,0.0118032237,26,6
119125,0.0143892614,27,6
119126,0.0143892614,28,6
119127,0.0151669411,24,6
119128,0.0163565502,20,6
119129,0.0183638723,25,6
119130,0,6,6
119131,0.0171841833,24,9
119132,0.022239658,13,9
119133,0.0236656911,25,9
119134,0.0276858608,4,9
119135,0.0305284728,18,9
119136,0.031233967,7,9
119137,0.0315714979,6,9
119138,0.0388302691,26,9
119139,0.0391099517,27,9
119140,0,9,9
119141,0.0040125499,8,12
119142,0.0112190813,32,12
119143,0.0167018813,14,12
119144,0.0199837841,17,12
