id,delta_point,created_at,user_id,user_question_record_id
790629,9,"2023-04-28 12:27:49",849436,771777
790652,9,"2023-04-28 12:28:02",849436,771800
790664,5,"2023-04-28 12:28:09",849436,771812
790680,13,"2023-04-28 12:28:16",849436,771828
790703,5,"2023-04-28 12:28:26",849436,771851
790716,10,"2023-04-28 12:28:32",849436,771864
790746,12,"2023-04-28 12:28:46",847375,771894
790761,15,"2023-04-28 12:28:55",849436,771908
790765,10,"2023-04-28 12:28:57",847375,771912
790780,9,"2023-04-28 12:29:05",847375,771927
790793,14,"2023-04-28 12:29:13",849436,771940
790806,10,"2023-04-28 12:29:21",849436,771952
790820,14,"2023-04-28 12:29:29",849438,771966
790823,8,"2023-04-28 12:29:30",847375,771969
790828,6,"2023-04-28 12:29:33",849436,771974
790835,13,"2023-04-28 12:29:38",847375,771981
790849,8,"2023-04-28 12:29:49",849438,771995
790855,6,"2023-04-28 12:29:52",849479,772001
790856,14,"2023-04-28 12:29:53",847375,772002
790877,13,"2023-04-28 12:30:03",849479,772023
790879,5,"2023-04-28 12:30:04",847375,772025
790881,12,"2023-04-28 12:30:04",849438,772027
790884,11,"2023-04-28 12:30:06",849441,772030
790894,7,"2023-04-28 12:30:10",849479,772040
790899,8,"2023-04-28 12:30:13",847375,772044
790909,13,"2023-04-28 12:30:19",849438,772054
790911,5,"2023-04-28 12:30:20",847375,772056
790912,11,"2023-04-28 12:30:21",849479,772057
790935,15,"2023-04-28 12:30:29",849438,772080
790943,7,"2023-04-28 12:30:34",847375,772088
790953,11,"2023-04-28 12:30:38",849479,772098
790956,5,"2023-04-28 12:30:39",849438,772101
790961,9,"2023-04-28 12:30:40",849452,772106
790977,7,"2023-04-28 12:30:48",849479,772122
790978,9,"2023-04-28 12:30:48",849452,772123
790981,7,"2023-04-28 12:30:49",849438,772126
790983,10,"2023-04-28 12:30:51",849469,772128
790988,14,"2023-04-28 12:30:54",849479,772133
790995,6,"2023-04-28 12:30:57",849452,772140
791002,7,"2023-04-28 12:31:01",849438,772147
791005,8,"2023-04-28 12:31:02",849479,772150
791006,15,"2023-04-28 12:31:02",849441,772151
791012,9,"2023-04-28 12:31:04",849452,772157
791023,14,"2023-04-28 12:31:09",849479,772167
791024,15,"2023-04-28 12:31:09",849452,772168
791035,13,"2023-04-28 12:31:16",849452,772179
791040,5,"2023-04-28 12:31:18",849438,772184
791046,13,"2023-04-28 12:31:22",849439,772190
791052,13,"2023-04-28 12:31:24",849452,772195
791060,14,"2023-04-28 12:31:27",849441,772203
791071,10,"2023-04-28 12:31:33",849452,772214
791080,7,"2023-04-28 12:31:38",849634,772223
791082,8,"2023-04-28 12:31:39",849439,772225
791083,14,"2023-04-28 12:31:39",849452,772226
791091,9,"2023-04-28 12:31:44",849452,772233
791099,7,"2023-04-28 12:31:49",849441,772241
791104,14,"2023-04-28 12:31:51",849439,772246
791116,9,"2023-04-28 12:31:55",849634,772258
791126,14,"2023-04-28 12:32:00",849489,772268
791135,7,"2023-04-28 12:32:05",849493,772277
791136,10,"2023-04-28 12:32:05",849692,772278
791137,14,"2023-04-28 12:32:06",849445,772279
791148,15,"2023-04-28 12:32:11",849670,772289
