id,address,student_count,school_type
4,"충청북도 충주시",239,H
5,"충청북도 충주시",160,M
6,"충청북도 충주시",200,H
7,"충청북도 충주시",114,H
8,"충청북도 충주시",139,M
9,"충청북도 충주시",3,H
10,"충청북도 충주시",159,M
11,"충청북도 충주시",17,M
12,"충청북도 충주시",154,M
13,"충청북도 충주시",80,H
14,"충청북도 충주시",153,M
15,"충청북도 충주시",20,M
16,"충청북도 충주시",143,H
17,"충청북도 충주시",155,M
18,"충청북도 충주시",210,H
19,"충청북도 충주시",3,M
20,"충청북도 충주시",68,H
21,"충청북도 충주시",0,M
22,"충청북도 충주시",5,M
23,"충청북도 충주시",7,M
24,"충청북도 충주시",252,H
25,"충청북도 충주시",1,H
26,"충청북도 충주시",0,H
27,"충청북도 충주시",265,H
28,"충청북도 충주시",222,H
29,"충청북도 충주시",38,M
30,"충청북도 충주시",20,M
31,"충청북도 충주시",32,M
32,"충청북도 충주시",125,M
33,"충청북도 충주시",62,M
34,"충청북도 충주시",1,M
35,"충청북도 충주시",0,H
36,"충청북도 충주시",13,M
37,"충청북도 청주시 흥덕구",88,M
38,"충청북도 청주시 흥덕구",163,M
39,"충청북도 청주시 흥덕구",192,M
40,"충청북도 청주시 흥덕구",176,H
41,"충청북도 청주시 흥덕구",145,H
42,"충청북도 청주시 흥덕구",94,M
43,"충청북도 청주시 흥덕구",123,M
44,"충청북도 청주시 흥덕구",193,H
45,"충청북도 청주시 흥덕구",183,H
46,"충청북도 청주시 흥덕구",72,H
47,"충청북도 청주시 흥덕구",75,M
48,"충청북도 청주시 흥덕구",162,H
49,"충청북도 청주시 흥덕구",233,M
50,"충청북도 청주시 흥덕구",189,M
51,"충청북도 청주시 흥덕구",89,M
52,"충청북도 청주시 흥덕구",81,H
53,"충청북도 청주시 흥덕구",0,H
54,"충청북도 청주시 흥덕구",75,H
55,"충청북도 청주시 흥덕구",97,H
56,"충청북도 청주시 흥덕구",158,M
57,"충청북도 청주시 흥덕구",160,M
58,"충청북도 청주시 흥덕구",128,H
59,"충청북도 청주시 흥덕구",136,M
60,"충청북도 청주시 흥덕구",178,M
61,"충청북도 청주시 흥덕구",186,H
62,"충청북도 청주시 흥덕구",213,M
63,"충청북도 청주시 청원구",133,M
64,"충청북도 청주시 청원구",158,H
65,"충청북도 청주시 청원구",114,H
66,"충청북도 청주시 청원구",158,M
67,"충청북도 청주시 청원구",107,H
68,"충청북도 청주시 청원구",202,M
69,"충청북도 청주시 청원구",143,M
70,"충청북도 청주시 청원구",140,M
71,"충청북도 청주시 청원구",309,M
72,"충청북도 청주시 청원구",238,M
73,"충청북도 청주시 청원구",389,H
74,"충청북도 청주시 청원구",190,H
75,"충청북도 청주시 청원구",159,H
76,"충청북도 청주시 청원구",366,H
77,"충청북도 청주시 청원구",145,M
78,"충청북도 청주시 청원구",184,H
79,"충청북도 청주시 청원구",174,M
80,"충청북도 청주시 서원구",2,M
81,"충청북도 청주시 서원구",155,H
82,"충청북도 청주시 서원구",7,M
83,"충청북도 청주시 서원구",163,M
84,"충청북도 청주시 서원구",75,H
85,"충청북도 청주시 서원구",174,H
86,"충청북도 청주시 서원구",104,M
87,"충청북도 청주시 서원구",126,M
88,"충청북도 청주시 서원구",177,M
89,"충청북도 청주시 서원구",132,M
90,"충청북도 청주시 서원구",158,H
91,"충청북도 청주시 서원구",186,H
92,"충청북도 청주시 서원구",90,M
93,"충청북도 청주시 서원구",37,M
94,"충청북도 청주시 서원구",109,H
95,"충청북도 청주시 서원구",105,H
96,"충청북도 청주시 서원구",0,H
97,"충청북도 청주시 서원구",78,M
98,"충청북도 청주시 서원구",121,H
99,"충청북도 청주시 서원구",60,H
100,"충청북도 청주시 서원구",204,M
101,"충청북도 청주시 상당구",237,H
102,"충청북도 청주시 상당구",186,H
103,"충청북도 청주시 상당구",164,M
104,"충청북도 청주시 상당구",155,M
105,"충청북도 청주시 상당구",0,H
106,"충청북도 청주시 상당구",188,H
107,"충청북도 청주시 상당구",37,H
108,"충청북도 청주시 상당구",196,M
109,"충청북도 청주시 상당구",210,M
110,"충청북도 청주시 상당구",191,M
111,"충청북도 청주시 상당구",128,M
112,"충청북도 청주시 상당구",144,M
113,"충청북도 청주시 상당구",162,H
114,"충청북도 청주시 상당구",0,H
115,"충청북도 청주시 상당구",143,M
116,"충청북도 청주시 상당구",88,M
117,"충청북도 청주시 상당구",15,H
118,"충청북도 청주시 상당구",2,M
119,"충청북도 청주시 상당구",6,M
120,"충청북도 청주시 상당구",126,H
121,"충청북도 청주시 상당구",111,M
122,"충청북도 청주시 상당구",1,H
123,"충청북도 청주시 상당구",124,H
124,"충청북도 청주시 상당구",2,M
125,"충청북도 청주시 상당구",87,H
126,"충청북도 진천군",89,M
127,"충청북도 진천군",112,H
128,"충청북도 진천군",162,H
129,"충청북도 진천군",177,M
130,"충청북도 진천군",125,H
131,"충청북도 진천군",17,M
132,"충청북도 진천군",100,H
133,"충청북도 진천군",7,H
134,"충청북도 진천군",5,M
135,"충청북도 진천군",8,M
136,"충청북도 진천군",210,H
137,"충청북도 진천군",270,M
138,"충청북도 진천군",154,M
139,"충청북도 진천군",189,H
140,"충청북도 증평군",26,H
141,"충청북도 증평군",105,M
142,"충청북도 증평군",70,M
143,"충청북도 증평군",109,H
144,"충청북도 증평군",7,H
145,"충청북도 증평군",142,M
146,"충청북도 제천시",0,M
147,"충청북도 제천시",293,M
148,"충청북도 제천시",101,H
149,"충청북도 제천시",0,M
150,"충청북도 제천시",94,M
151,"충청북도 제천시",171,M
152,"충청북도 제천시",0,H
153,"충청북도 제천시",180,M
154,"충청북도 제천시",61,M
155,"충청북도 제천시",194,H
156,"충청북도 제천시",279,H
157,"충청북도 제천시",2,H
158,"충청북도 제천시",192,M
159,"충청북도 제천시",0,M
160,"충청북도 제천시",1,M
161,"충청북도 제천시",278,H
162,"충청북도 제천시",32,H
163,"충청북도 제천시",0,M
164,"충청북도 제천시",1,M
165,"충청북도 제천시",0,M
166,"충청북도 제천시",136,H
167,"충청북도 제천시",179,H
168,"충청북도 음성군",155,M
169,"충청북도 음성군",84,M
170,"충청북도 음성군",244,H
171,"충청북도 음성군",50,M
172,"충청북도 음성군",5,M
173,"충청북도 음성군",93,H
174,"충청북도 음성군",56,M
175,"충청북도 음성군",8,M
176,"충청북도 음성군",1,H
177,"충청북도 음성군",22,M
178,"충청북도 음성군",168,M
179,"충청북도 음성군",210,H
180,"충청북도 음성군",115,H
181,"충청북도 음성군",10,M
182,"충청북도 음성군",46,M
183,"충청북도 음성군",160,H
184,"충청북도 옥천군",17,H
185,"충청북도 옥천군",9,M
186,"충청북도 옥천군",7,M
187,"충청북도 옥천군",175,M
188,"충청북도 옥천군",108,H
189,"충청북도 옥천군",224,H
190,"충청북도 옥천군",83,M
191,"충청북도 옥천군",0,M
192,"충청북도 영동군",32,M
193,"충청북도 영동군",7,H
194,"충청북도 영동군",10,M
195,"충청북도 영동군",9,H
196,"충청북도 영동군",37,M
197,"충청북도 영동군",40,H
198,"충청북도 영동군",102,M
199,"충청북도 영동군",120,H
200,"충청북도 영동군",205,H
201,"충청북도 영동군",144,M
202,"충청북도 영동군",8,M
203,"충청북도 영동군",0,M
204,"충청북도 보은군",2,M
205,"충청북도 보은군",1,M
206,"충청북도 보은군",2,M
207,"충청북도 보은군",16,H
208,"충청북도 보은군",0,H
209,"충청북도 보은군",6,H
210,"충청북도 보은군",3,H
211,"충청북도 보은군",16,M
212,"충청북도 보은군",4,M
213,"충청북도 단양군",9,M
214,"충청북도 단양군",1,M
215,"충청북도 단양군",47,M
216,"충청북도 단양군",225,H
217,"충청북도 단양군",93,M
218,"충청북도 단양군",1,M
219,"충청북도 단양군",100,H
220,"충청북도 괴산군",0,M
221,"충청북도 괴산군",0,M
222,"충청북도 괴산군",0,M
223,"충청북도 괴산군",1,M
224,"충청북도 괴산군",2,M
225,"충청북도 괴산군",76,M
226,"충청북도 괴산군",150,H
227,"충청북도 괴산군",16,M
228,"충청북도 괴산군",56,M
229,"충청남도 홍성군",77,M
230,"충청남도 홍성군",215,H
231,"충청남도 홍성군",254,H
232,"충청남도 홍성군",71,M
233,"충청남도 홍성군",237,M
234,"충청남도 홍성군",341,H
235,"충청남도 홍성군",277,M
236,"충청남도 홍성군",0,H
237,"충청남도 홍성군",13,M
238,"충청남도 홍성군",4,M
239,"충청남도 홍성군",2,M
240,"충청남도 홍성군",106,H
241,"충청남도 홍성군",53,M
242,"충청남도 홍성군",109,H
243,"충청남도 홍성군",64,H
244,"충청남도 홍성군",86,M
245,"충청남도 홍성군",12,H
246,"충청남도 홍성군",91,H
247,"충청남도 홍성군",1,M
248,"충청남도 태안군",12,M
249,"충청남도 태안군",175,H
250,"충청남도 태안군",192,H
251,"충청남도 태안군",149,M
252,"충청남도 태안군",53,M
253,"충청남도 태안군",0,M
254,"충청남도 태안군",101,H
255,"충청남도 태안군",82,M
256,"충청남도 태안군",14,M
257,"충청남도 태안군",18,H
258,"충청남도 태안군",8,M
259,"충청남도 태안군",8,M
260,"충청남도 청양군",1,M
261,"충청남도 청양군",26,M
262,"충청남도 청양군",105,M
263,"충청남도 청양군",205,H
264,"충청남도 청양군",118,H
265,"충청남도 청양군",101,M
266,"충청남도 청양군",1,M
267,"충청남도 천안시 서북구",272,M
268,"충청남도 천안시 서북구",236,H
269,"충청남도 천안시 서북구",20,M
270,"충청남도 천안시 서북구",0,H
271,"충청남도 천안시 서북구",491,H
272,"충청남도 천안시 서북구",339,H
273,"충청남도 천안시 서북구",230,M
274,"충청남도 천안시 서북구",302,H
275,"충청남도 천안시 서북구",112,H
276,"충청남도 천안시 서북구",136,M
277,"충청남도 천안시 서북구",83,M
278,"충청남도 천안시 서북구",321,M
