id,reason,created_at,reported_user_id,user_id,user_question_record_id
28,"타인을 사칭함","2023-05-06 04:44:57",874587,885082,3920588
37,"친구를 비하하거나 조롱하는 어투","2023-05-06 05:41:19",881048,881298,4018679
46,"친구를 비하하거나 조롱하는 어투","2023-05-06 06:26:59",887882,881945,4120914
64,"허위 사실 언급","2023-05-06 07:07:46",888610,893684,4143049
65,"허위 사실 언급","2023-05-06 07:07:52",888610,893684,4143049
73,"허위 사실 언급","2023-05-06 07:24:39",884536,895569,4198891
86,"허위 사실 언급","2023-05-06 07:49:27",895726,887254,4210703
145,"허위 사실 언급","2023-05-06 09:28:26",876060,887254,4265440
181,"허위 사실 언급","2023-05-06 10:01:39",885328,878909,4378751
196,"허위 사실 언급","2023-05-06 10:18:43",884885,885300,4386618
472,"허위 사실 언급","2023-05-06 16:33:43",890492,905692,5003069
530,"선정적이거나 폭력적인 내용","2023-05-06 19:49:18",887103,875311,5096786
612,"허위 사실 언급","2023-05-07 03:03:58",885473,867048,5421572
613,"허위 사실 언급","2023-05-07 03:04:01",885473,867048,5421572
614,"허위 사실 언급","2023-05-07 03:04:03",885473,867048,5421572
615,"허위 사실 언급","2023-05-07 03:04:04",885473,867048,5421572
616,"허위 사실 언급","2023-05-07 03:04:06",885473,867048,5421572
740,"허위 사실 언급","2023-05-07 06:14:57",939196,944838,5649541
741,"허위 사실 언급","2023-05-07 06:15:00",939196,944838,5649541
742,"허위 사실 언급","2023-05-07 06:15:02",939196,944838,5649541
748,"타인을 사칭함","2023-05-07 06:18:23",837235,834089,4657546
1238,"선정적이거나 폭력적인 내용","2023-05-07 14:32:09",870766,928535,6556072
1383,"친구를 비하하거나 조롱하는 어투","2023-05-07 15:15:17",883543,929494,7391714
1384,"친구를 비하하거나 조롱하는 어투","2023-05-07 15:15:21",883543,929494,7391714
1416,"친구를 비하하거나 조롱하는 어투","2023-05-07 15:38:06",880089,877326,7088485
1428,"타인을 사칭함","2023-05-07 15:49:21",939196,944838,5849834
1429,"타인을 사칭함","2023-05-07 15:49:24",939196,944838,5849834
1430,"타인을 사칭함","2023-05-07 15:49:29",939196,944838,5849834
1431,"허위 사실 언급","2023-05-07 15:49:31",939196,944838,5849834
