id,is_superuser,is_staff,gender,point,friend_id_list,is_push_on,created_at,block_user_id_list,hide_user_id_list,ban_status,report_count,alarm_count,pending_chat,pending_votes,group_id
831956,1,1,NULL,600,"[1292473, 913158, 1488461, 1064695, 1043565, 1274736]",0,"2023-03-29 03:44:14.047130",[],[],N,0,0,0,0,NULL
831962,0,0,F,2248,"[833025, 832642, 982531, 879496, 838541, 837521, 833041, 832151, 1082907, 1426466, 1541413, 1577131, 837806, 834486, 834358, 1575225, 1576252, 837950, 1446852, 1577930, 841037, 1577938, 832340, 831958, 849624, 837338, 1577954, 849763, 862823, 1577703, 834415, 833009, 834289, 833011, 842865, 833013, 856050, 833017, 833018, 833022, 833023, 1580476, 1580855]",1,"2023-03-29 05:18:56.162368",[],[],N,253,40878,5499,110,12
832151,0,0,M,1519,"[838785, 982531, 882567, 879496, 838541, 836496, 833041, 837521, 836498, 832920, 1082907, 1426466, 1541413, 837806, 834486, 834358, 1239225, 1575225, 837950, 874050, 1446852, 841037, 834643, 832340, 836693, 849624, 837338, 831962, 832986, 849763, 874212, 832740, 832614, 862823, 840046, 834415, 856050, 832894, 1577131, 1577703, 1577930, 1577938, 1577954, 1578661, 1579185, 1579656, 1580105, 1580329, 1437875, 1580855, 1581251]",0,"2023-03-29 12:56:34.989468",[],[],N,0,37,0,47,1
832340,0,0,F,57,"[841345, 982531, 838785, 963714, 882567, 832520, 838541, 836496, 837521, 833041, 836498, 832151, 832920, 1082907, 1426466, 848557, 837806, 842927, 834486, 841271, 834358, 1239225, 842814, 837950, 874050, 841037, 834643, 836693, 836055, 849624, 832857, 831962, 832986, 837338, 849763, 832740, 874212, 832614, 862823, 842987, 840046, 834415, 842865, 842994, 832894, 1575225, 1577131, 1577703, 1577930, 1577938, 1577954, 1578661, 1579185, 1579656, 1580105, 1580329, 1437875]",1,"2023-03-29 12:56:35.020790",[],[],N,0,19,0,21,1
832520,0,0,M,1039,"[874050, 849763, 874212, 844297, 838541, 840046, 837806, 833041, 1341587, 832340, 1239225, 842814, 1577131, 1577938, 834358, 1446852, 1437875, 1581251]",0,"2023-03-29 12:56:35.049311",[],[],N,0,29,0,15,12
832614,0,0,M,1048,"[838541, 833041, 832151, 837806, 1437874, 1142709, 834358, 1239225, 842814, 874050, 841037, 832340, 832857, 832986, 849763, 832740, 832894, 1577938, 1578013, 1446852, 1437875]",1,"2023-03-29 12:56:35.064406",[],[],N,0,28,0,14,12
832740,0,0,M,1094,"[874050, 849763, 832894, 832614, 837806, 833041, 1437875, 832340, 832151, 832857, 832986, 842814, 1577131, 1577938, 1446852]",0,"2023-03-29 13:20:46.429584",[],[],NB,0,26,0,3,12
832857,0,0,M,1439,"[874050, 832894, 832740, 832614, 837806, 833041, 1437874, 832340, 1142709, 834358, 842814, 832986, 837950, 1577131, 1578013, 1446852]",1,"2023-03-29 13:20:46.460241",[],[],N,0,28,0,16,12
832894,0,0,M,1535,"[982531, 879496, 833041, 832151, 1082907, 1426466, 837806, 1437874, 834358, 1239225, 837950, 874050, 841037, 832340, 849624, 832857, 832986, 849763, 832740, 832614, 862823, 856050, 1575225, 1577131, 1577930, 1577954, 1578013, 1578661, 1579185, 1579656, 1580105, 1580329, 1446852, 1580855]",1,"2023-03-29 13:20:46.469788",[],[],N,0,36,0,24,1
832920,0,0,F,213,"[982531, 882567, 836496, 833041, 836498, 832151, 1082907, 1426466, 837806, 837950, 874050, 834643, 832340, 836693, 874212, 862823, 1575225, 1577131, 1577930, 1577954, 1578661, 1579185, 1579656, 1580105, 1580329, 1446852]",1,"2023-03-29 13:20:46.476550",[],[],N,0,35,0,18,1
