id,contacts_count,invite_user_id_list,user_id
259,30,[],1167696
1756,79,[],863169
13742,21,[854615],857205
13754,29,[],851431
13756,28,[849318],855476
13784,31,[855829],1482744
13798,45,"[849318, 849421]",854615
13807,28,[],854372
13815,26,"[855626, 856042, 837947]",858674
21155,28,[],855526
21248,22,[857256],979629
21280,12,[],1576015
22427,42,[],874862
22641,44,[855765],860280
22659,44,[],854596
22670,16,[],889999
24241,30,[],849528
28085,36,[],879322
28187,31,[],850130
28307,64,"[883507, 883996, 883491, 883602]",884953
29546,32,"[852263, 855675]",855720
29623,24,[],867084
30757,38,[1261984],1556268
30801,62,[],1084275
31941,21,[],874929
32162,37,[849450],849489
33239,28,[],856904
33920,55,[],874628
33988,26,[],858346
34010,38,"[854615, 855765, 854372]",857503
34032,52,[],861461
34282,31,[],849436
34412,55,[],884164
34577,26,[],876682
36037,26,[],859641
36063,114,[],873573
36099,38,[874402],877850
36267,53,[],849549
36296,18,[],850966
36316,19,[],849445
36758,29,[],1141474
37832,14,[],859697
38041,32,[],873965
40248,38,"[885409, 883601]",887315
42155,56,[870325],873550
42256,30,[],880711
43271,50,[],885574
43827,58,[],855825
44736,25,[],856962
45040,15,[],849670
45048,37,[],849438
45057,43,[],849477
45064,15,[],849443
45076,14,[],851541
45094,51,[],851835
45096,33,[],850208
45124,59,[838597],849453
45126,8,[],878112
45137,20,[],849946
45148,64,"[850556, 850903]",851491
45154,24,[849670],849995
45157,43,[],849446
45168,33,[849436],849558
45172,35,"[849436, 849548]",849559
45179,32,[],849460
45186,63,"[849438, 849436, 849450]",849454
45200,37,[],849469
45201,21,"[849436, 849670, 849995]",850574
45202,13,[],849497
45210,35,[],849620
45214,25,[849479],849503
45225,26,"[884777, 885625]",931987
45226,67,[],847375
45427,39,[],874284
45497,24,[],856736
45614,18,[],849490
45619,28,[849488],850866
45623,12,[],1124494
45624,25,[],851929
45631,27,[850217],855993
45632,35,[],850699
45633,12,[849670],850150
45634,28,[],849488
45640,6,[],851226
45646,31,[850699],850728
45647,36,[],849543
45652,29,[850948],859377
45654,6,[],861106
45658,45,"[849504, 849548]",850249
45662,60,[849551],850269
45665,44,[849479],849504
45666,50,"[852636, 853724, 854356]",855180
45669,32,[],849452
45672,24,[],850112
45678,27,[],849475
45679,25,[855993],879122
45682,37,[850112],850344
45684,55,[849490],855688
45686,51,[850031],850388
45692,21,[],879167
45694,31,[],850948
45697,30,[],850120
45700,20,[],850058
45709,21,[849762],849977
45714,49,"[850031, 850866]",853724
45725,29,[849490],849526
45727,25,[],849486
45728,62,[849548],850392
45919,50,[],849439
46135,47,[],849441
46161,76,[],851250
46174,45,[869499],871407
46176,27,[],857337
46187,54,"[857781, 874085]",1575391
46188,21,[],863069
46193,26,[],849442
46218,25,[],861058
46224,19,[849497],850606
46225,33,[],850582
46226,19,[],861753
46228,22,[],851590
46229,45,[],849450
46249,26,[],849515
46250,29,[],849512
46261,17,[],849466
46295,27,[],854168
46794,16,[],849979
46802,19,[],850100
46805,37,[850007],850098
46807,16,[],851256
46820,13,[],849928
46824,53,[],849498
46834,25,[],855914
46839,45,"[850195, 850761]",851396
46853,6,[],1014298
46857,20,[],850255
46867,20,[],850710
46870,17,[],850031
46883,38,[850556],851328
46884,6,[],850435
46890,11,[],850736
46897,25,[],850319
47689,13,[863927],865130
47962,38,[],849444
47972,53,[],850039
47973,30,[],865901
47989,74,"[855765, 855728]",861223
47990,40,[],849963
47996,16,[],851556
48001,50,[],849491
48002,48,[],850007
48018,41,[],850556
48024,26,[],850412
48026,35,[],850610
48030,50,[],849983
48031,28,"[849558, 849460]",849682
48035,33,[],850695
48054,32,[],1218109
48057,28,[],850127
48062,45,[],850554
48067,68,[],850006
48068,42,[849445],849981
48069,57,[],849548
48292,39,[],850302
48301,18,[],849464
48339,19,[],850186
48785,28,[],874385
49051,37,[],858713
49615,35,[875200],879918
50412,29,[],849582
50413,18,[],1235674
50419,18,[],851593
50442,33,[849559],850217
50458,14,[],849535
50506,30,[],850195
50518,21,[],849493
50579,33,[],880875
50692,18,[],872930
51166,14,[],957893
51215,12,[],849451
51233,24,[],1577160
51261,51,[849452],849471
51266,40,[849452],849762
51294,19,[],852264
51310,38,[],849922
51868,31,[],881298
52395,21,[],887519
52894,24,[],849692
52896,27,[],850870
52914,26,[],849623
52918,24,[849489],849864
52922,15,[],852355
52937,30,[],895525
53085,22,[875597],887740
53226,28,[849548],850057
53227,28,[],849487
53228,28,[],849634
53231,27,[858674],858836
53236,33,[870982],880096
53239,39,"[849504, 850556]",850668
53245,36,[850217],850903
53253,13,[],865649
53255,30,[863661],864014
53258,32,[850392],850949
53789,27,[],849455
53804,33,[],981487
53805,49,[850057],850229
53823,44,[855737],856252
53826,9,[],852967
53843,42,[838471],850761
53847,41,[],850077
53868,21,[],849479
56019,27,[],1235393
56283,36,"[849548, 850208, 851491, 850761]",852636
56715,22,[],873496
57217,53,[],878592
57769,19,[],849502
58055,37,[],1188305
58484,44,[873691],874916
59508,33,[],1297111
59766,19,[],1161417
59793,40,[],1208374
59825,33,[],886697
60056,22,[],888148
61789,20,[],875012
62693,27,[],850176
62709,20,[],850737
62733,53,[],874085
62738,24,[],850152
62764,27,[850378],872189
62779,33,[],850378
63130,24,[954924],1166915
63199,47,[],886705
64251,21,[873325],913845
65589,35,[851256],851644
65592,15,[],850091
65613,20,[],860230
66452,58,[],885977
66716,32,[879015],1026598
66769,21,[],850429
67025,20,[],887375
67879,23,[],874631
68260,50,[],885000
68377,15,[],854494
68388,51,[],855723
68393,12,[],849541
68411,12,[],856880
68426,34,[],856916
68427,10,[],850096
68429,34,[860428],864524
68447,9,[],872388
68453,30,[],852472
69453,44,[],871962
72822,28,"[852358, 851646, 851383]",1029993
72966,45,[],870326
72994,9,[],1043600
73007,44,[],874248
73222,17,[],863154
73355,54,[],936990
73554,36,[],886338
74016,30,[1338373],1406310
74161,12,[],873602
74171,41,[],850986
74401,79,"[1436098, 1449026, 1476483]",1480961
74799,8,[],1404492
75079,40,[],877406
75333,29,[],883117
75432,36,[],856027
75436,5,[],849938
75439,24,[],850633
75440,35,[849490],855605
75554,47,[],855117
75560,14,[],857895
75561,11,[],864338
75562,42,[],850615
75565,40,[864338],879200
75566,20,[],858172
75567,41,[851165],855552
75572,66,[],861158
75573,40,[855117],855340
75581,30,[855626],856042
75583,37,[854372],858467
75586,56,[855765],856281
75589,25,[],857254
75591,22,[],855743
75593,50,[],855752
75758,55,[868695],886062
75921,28,[],876106
76117,33,[],1437813
76215,42,[874140],874152
76956,27,[],850284
79293,14,[],873635
79385,56,[],876288
79603,15,[],851383
80316,64,[],1234231
80693,38,[],1152216
80812,27,[],873614
82096,16,[],850536
83493,10,[],879172
83495,30,[],871610
83499,22,[],850215
83500,18,[],850718
83502,19,[],857816
83505,37,[837885],855832
83509,23,[857399],858194
83524,16,[849974],850413
83535,57,[],866059
83537,16,[850710],850719
84562,11,[],973021
84683,9,[840951],989449
84684,27,[],905092
84869,23,[850215],850811
85695,18,[],873568
86055,36,[874170],875114
86176,16,[],888666
87188,18,[],858253
87442,22,[],879015
87654,55,"[1142809, 1146785]",1226301
88372,10,[],1348659
88534,17,[],858508
89864,13,[],862947
91184,42,[],852140
91189,9,[],874373
91575,16,[],1162938
92928,46,[],1239519
93163,13,[],950506
95384,25,[],899170
97892,32,[874294],879018
98733,66,[],1223982
99432,35,[],855713
99982,29,[883602],886673
100276,10,[],872766
102465,19,[],856875
103595,35,[],1158973
104497,52,[],871779
104950,13,[],873080
106319,32,[],1141018
106651,41,[861205],864897
106960,49,[],1275462
107419,12,[],880082
107720,45,[],875907
107806,30,[],880089
108180,63,[873001],884466
108990,19,[],1548231
109793,33,[],1548002
112313,45,"[901695, 928689, 895905]",952948
114018,38,[1165841],1278994
114148,57,[840512],874865
115599,22,[876402],896049
116571,44,[849548],849566
117090,18,[],871214
117705,33,[856221],859193
120689,37,[],874002
121049,10,[],994267
121414,26,[850699],850878
121418,12,[],850334
122117,9,[],855829
122212,33,[845269],884654
124272,50,[],861491
124287,47,"[873550, 876258]",878370
125457,26,[],886913
126972,14,[],876277
127061,23,[886200],886518
127077,52,[],1145955
128994,18,"[1212293, 1254374]",1321636
129253,20,[],852305
130958,14,[],872539
130975,3,[],850248
130978,19,[],851695
130984,8,[],863773
131440,26,[],855514
131786,28,[],1245000
132583,14,[],876494
133466,31,"[857254, 855706]",859241
133632,46,[],1199473
136375,30,[],849974
137227,20,[],858534
137339,32,[],887997
137418,24,[],1098256
140335,40,"[880731, 1050496, 1024434]",1187566
141577,107,[871350],877693
141630,18,[],921814
142082,47,[1115705],1246919
142329,18,[],1170231
142618,35,[879952],880093
142796,44,[],1295989
144621,29,[],877997
144627,21,[901426],905865
145490,43,[],1245624
145803,45,[],1253640
146134,17,[],1156716
147953,18,[],1024407
149065,10,[],856828
149557,28,[1115332],1201108
149845,45,"[1137878, 1126012, 1158211, 1275168]",1326020
150352,42,[854615],857603
152893,28,[875368],884955
153282,24,[],913102
154479,37,[],1284714
155253,46,[1006058],1023742
156032,18,[],879364
156213,36,[879952],880011
157165,28,[],853363
157659,22,[954761],955746
157824,15,[1167265],1263081
159466,14,[],872459
160262,5,[],881024
160618,50,[],856062
161131,36,[],876077
161592,5,[879138],890096
161731,53,[872980],873265
161985,29,[],1140485
163079,12,[],1131668
164093,37,[854383],856929
164159,19,[],1401647
164566,19,[],876181
166274,36,[],1427274
166340,3,[],1569130
166871,46,"[1098852, 1206280, 1239519]",1296603
167329,76,[],1216247
168906,26,[],876004
169749,13,[],876518
171607,33,[],880050
171847,17,[],1030667
173733,41,[],875200
174169,17,[],877328
174613,15,[],855572
176048,40,[],927951
176141,29,[],877280
176309,22,[],1442040
176709,29,[881639],882166
177773,7,[1115501],1121861
177798,15,[],875996
179130,40,"[874862, 874169, 876643, 876288]",877526
179139,42,[],884291
181600,25,"[861260, 862797]",863328
182594,40,"[872723, 871861]",1151770
183221,74,[],878657
186849,23,[],873233
186924,16,[],1583458
187514,15,[],887872
188040,15,[],1142649
188049,44,[],1269240
188856,32,[],1428321
189527,28,[],876696
190291,8,[],1459342
190486,10,[1136187],1142755
190555,44,[],873445
190682,22,[856350],856577
190985,19,[],851144
191218,31,[875440],878020
191614,14,[863409],880470
191699,17,[],858763
192320,32,[],884982
192650,34,[],1284675
193025,46,[],1098852
193221,20,[1258222],1581094
193360,58,[],887530
195324,35,[],1144200
195412,51,"[1112175, 1182275]",1210380
196314,18,[],869746
196558,17,[],1138139
196927,13,[],885766
197888,13,[],883800
199116,43,[],874999
199390,22,[],1279657
199600,33,"[1156575, 1193818]",1278023
199838,27,[],999507
199861,21,[857051],863211
200343,28,[850475],855869
201898,22,[],904853
202809,53,[],856665
203143,16,[],879060
203507,18,[],855424
203772,29,[854615],855245
203800,10,[],1050425
203936,41,[],858494
204485,52,"[873770, 875444, 875440, 873965, 875326]",875642
204685,19,[],874427
204770,52,[],855790
204814,23,[],867872
204971,32,"[855829, 855826, 855307]",856054
205456,28,[],873500
205613,7,[],874682
205823,19,[],866576
205976,10,[],868686
205983,28,"[873199, 873702]",873726
207835,22,[],881639
208384,35,"[1127643, 1210380]",1285440
209034,36,[],873770
209581,10,[],855532
209643,30,[],855734
211934,20,[],855810
215020,22,[],881189
215110,11,[],873357
217832,5,[],889885
217963,26,[877526],879467
218415,18,[],890983
218522,8,[],982046
218560,36,[872289],877115
219814,70,"[1163189, 1237215]",1237933
221595,35,[],882023
222994,28,"[854494, 850096]",856002
223702,15,[],1078405
223718,10,[],861733
224234,36,[],1090874
224296,29,[],1126450
226078,23,[],858427
227563,11,[],881886
227711,36,[],885738
230385,28,[],1135238
230393,34,[],863409
230657,15,[856577],879960
231106,20,[],1479851
231278,37,[],850774
231789,33,"[860049, 862462, 859072, 840685]",872460
232579,51,[],863476
232956,28,[],874025
233094,29,[],884777
233581,53,[],877540
233895,39,[],858687
234012,11,[],1130315
234057,22,[],879980
234573,34,[],885725
234647,32,[885409],886696
235107,24,[],1130165
235351,28,[],921502
235854,36,[],885822
236024,25,[],874404
237203,37,[],873809
237591,10,[],857797
238131,14,[],879495
238139,38,[],869250
238285,23,[],858265
238585,77,[],885299
239694,20,[],1202464
241731,18,[],877267
242776,40,[],855509
243193,6,[],1127595
243592,23,[],856195
243639,58,[855626],855662
244263,12,[],874566
244339,20,[],874805
244684,15,[],857900
245374,20,[],895204
246221,26,[],876123
247417,39,[886486],889600
247974,17,[],873634
248082,22,[],866779
248140,19,[],850601
248265,18,[],855110
249354,54,[888711],956834
249507,61,[936990],1142809
249543,42,[],873680
249783,17,[],1120744
251057,34,[],890846
251321,31,[],875026
251658,10,[],873072
252644,21,[873001],918653
252989,27,[],1150158
253299,43,"[855514, 855626, 850615, 853741]",855694
254537,29,[849632],866039
254573,25,[],851219
254580,21,[],874508
254877,56,[],872918
255969,27,[],1157274
257377,26,[],876405
257434,19,"[873726, 873387]",873740
257452,39,[],877344
257476,19,[],855737
257485,18,[],1186295
257655,17,[873199],885075
258008,28,[],878642
258192,37,[],1505477
258798,41,[],879875
259508,16,[],1057948
259999,26,[865274],871993
260475,68,[],1136024
260800,28,[],878500
262572,14,[],858396
265324,42,[],1115312
266343,29,[],857517
266358,22,[],873730
268949,30,[],885204
269278,10,[],878387
269343,23,[],1166940
272771,18,[],881683
272860,36,[860771],861710
273523,36,[],1181059
273738,29,[],885370
273958,35,[],855039
275309,23,[],871953
276291,36,"[875201, 877021]",881311
276743,12,[],990101
276786,38,[1136024],1152676
277325,29,"[1017272, 876375, 1125988]",1134174
279355,26,[],874272
279407,32,[],1450383
280355,17,[876402],912611
280905,18,[],1030827
283351,14,[],1550301
284602,34,"[1139085, 1197582]",1276480
284730,43,[],886311
289875,16,[],857659
290562,24,[],878628
290841,47,[],1147938
290851,35,[936990],1138757
291246,39,[],1142661
291279,16,[],1072598
291869,23,[],876627
