id,reason,created_at
42,"재밌는 질문이 없어서","2023-03-29 13:22:12"
43,"함께 할 친구가 없어서","2023-03-29 13:24:59"
44,"함께 할 친구가 없어서","2023-03-29 13:53:32"
45,"함께 할 친구가 없어서","2023-03-29 13:54:03"
46,"재밌는 질문이 없어서","2023-03-30 00:31:19"
47,"기타 이유","2023-03-30 00:34:23"
48,"기타 이유","2023-03-30 04:26:56"
49,"재밌는 질문이 없어서","2023-03-31 11:28:33"
50,"재밌는 질문이 없어서","2023-03-31 11:30:32"
51,test,"2023-03-31 11:45:11"
52,"재밌는 질문이 없어서","2023-03-31 15:58:24"
53,"재밌는 질문이 없어서","2023-03-31 16:05:53"
54,"함께 할 친구가 없어서","2023-03-31 16:14:07"
55,"버그가 너무 많아서","2023-03-31 16:50:24"
56,"기타 이유","2023-03-31 16:58:05"
58,"버그가 너무 많아서","2023-03-31 18:55:06"
59,"재밌는 질문이 없어서","2023-03-31 18:55:20"
60,"기타 이유","2023-04-01 02:50:37"
61,"기타 이유","2023-04-01 03:32:28"
62,"기타 이유","2023-04-01 04:24:58"
63,"기타 이유","2023-04-01 10:49:13"
64,"기타 이유","2023-04-01 10:50:05"
65,"재밌는 질문이 없어서","2023-04-01 11:50:25"
66,"기타 이유","2023-04-01 11:54:10"
67,"함께 할 친구가 없어서","2023-04-01 12:06:36"
68,"기타 이유","2023-04-01 12:07:42"
69,"재밌는 질문이 없어서","2023-04-02 07:22:53"
70,"버그가 너무 많아서","2023-04-02 11:49:46"
71,"버그가 너무 많아서","2023-04-02 13:30:13"
72,"재밌는 질문이 없어서","2023-04-02 17:53:31"
73,test,"2023-04-03 04:52:06"
74,"재밌는 질문이 없어서","2023-04-03 10:36:44"
75,"기타 이유","2023-04-03 14:20:22"
76,"재밌는 질문이 없어서","2023-04-04 13:01:04"
77,"기타 이유","2023-04-07 16:03:26"
78,"함께 할 친구가 없어서","2023-04-08 01:11:12"
79,"기타 이유","2023-04-08 11:29:26"
80,"기타 이유","2023-04-08 11:57:02"
81,"재밌는 질문이 없어서","2023-04-08 13:52:06"
82,"기타 이유","2023-04-09 03:14:09"
83,"기타 이유","2023-04-09 07:34:14"
84,"기타 이유","2023-04-10 15:05:00"
85,"재밌는 질문이 없어서","2023-04-11 07:15:34"
86,"기타 이유","2023-04-11 10:25:13"
87,"함께 할 친구가 없어서","2023-04-13 07:59:41"
88,"기타 이유","2023-04-15 07:13:30"
89,"기타 이유","2023-04-15 07:25:02"
90,"함께 할 친구가 없어서","2023-04-15 12:00:15"
91,"기타 이유","2023-04-15 14:51:33"
92,"기타 이유","2023-04-15 15:03:14"
93,"함께 할 친구가 없어서","2023-04-17 09:45:19"
94,"함께 할 친구가 없어서","2023-04-17 09:59:13"
95,"함께 할 친구가 없어서","2023-04-17 19:11:44"
96,"구독료가 너무 비싸서","2023-04-17 20:28:16"
97,"함께 할 친구가 없어서","2023-04-19 06:08:07"
98,"기타 이유","2023-04-19 06:21:33"
99,"재밌는 질문이 없어서","2023-04-19 06:30:19"
100,"기타 이유","2023-04-19 06:31:25"
101,"기타 이유","2023-04-19 06:57:14"
102,"기타 이유","2023-04-19 07:37:56"
103,"재밌는 질문이 없어서","2023-04-19 07:39:28"
104,"기타 이유","2023-04-19 07:42:44"
105,"함께 할 친구가 없어서","2023-04-19 07:50:29"
106,"기타 이유","2023-04-19 07:52:56"
107,"함께 할 친구가 없어서","2023-04-19 08:07:45"
108,"함께 할 친구가 없어서","2023-04-19 08:08:36"
109,"기타 이유","2023-04-19 08:35:10"
110,"재밌는 질문이 없어서","2023-04-19 08:36:52"
111,"함께 할 친구가 없어서","2023-04-19 08:46:07"
112,"기타 이유","2023-04-19 09:01:17"
113,"함께 할 친구가 없어서","2023-04-19 09:02:36"
114,"함께 할 친구가 없어서","2023-04-19 09:02:54"
115,"기타 이유","2023-04-19 09:06:20"
116,"기타 이유","2023-04-19 09:15:55"
117,"기타 이유","2023-04-19 09:18:03"
120,"버그가 너무 많아서","2023-04-19 09:32:41"
121,"기타 이유","2023-04-19 09:41:06"
122,"기타 이유","2023-04-19 09:42:01"
123,"기타 이유","2023-04-19 10:09:47"
124,"기타 이유","2023-04-19 10:13:13"
125,"함께 할 친구가 없어서","2023-04-19 10:16:52"
126,"기타 이유","2023-04-19 10:49:22"
127,"기타 이유","2023-04-19 11:06:33"
128,"재밌는 질문이 없어서","2023-04-19 12:24:47"
129,"기타 이유","2023-04-19 13:25:54"
130,"기타 이유","2023-04-19 13:37:49"
131,"기타 이유","2023-04-19 13:44:13"
132,"재밌는 질문이 없어서","2023-04-19 13:53:06"
133,"버그가 너무 많아서","2023-04-19 13:58:01"
134,"기타 이유","2023-04-19 14:02:04"
135,"재밌는 질문이 없어서","2023-04-19 14:10:54"
136,"기타 이유","2023-04-19 14:44:27"
137,"함께 할 친구가 없어서","2023-04-19 14:45:28"
138,"기타 이유","2023-04-19 15:15:13"
139,"기타 이유","2023-04-19 15:16:10"
140,"기타 이유","2023-04-19 15:22:15"
141,"기타 이유","2023-04-19 16:03:48"
142,"함께 할 친구가 없어서","2023-04-19 16:17:53"
143,"함께 할 친구가 없어서","2023-04-19 16:22:14"
144,"함께 할 친구가 없어서","2023-04-19 16:26:33"
145,"기타 이유","2023-04-19 16:32:56"
146,"버그가 너무 많아서","2023-04-19 16:34:48"
147,"함께 할 친구가 없어서","2023-04-19 16:38:34"
148,"함께 할 친구가 없어서","2023-04-19 16:41:11"
149,"기타 이유","2023-04-19 17:09:54"
150,"함께 할 친구가 없어서","2023-04-19 18:01:00"
151,"기타 이유","2023-04-19 19:03:48"
152,"기타 이유","2023-04-19 19:07:50"
153,"함께 할 친구가 없어서","2023-04-19 23:10:45"
154,"재밌는 질문이 없어서","2023-04-19 23:29:20"
155,"기타 이유","2023-04-20 00:58:19"
156,"버그가 너무 많아서","2023-04-20 01:31:05"
157,"함께 할 친구가 없어서","2023-04-20 01:42:41"
158,"기타 이유","2023-04-20 01:46:10"
159,"기타 이유","2023-04-20 01:47:21"
160,"기타 이유","2023-04-20 01:51:04"
161,"기타 이유","2023-04-20 01:54:27"
162,"기타 이유","2023-04-20 02:26:36"
163,"기타 이유","2023-04-20 02:28:53"
164,"기타 이유","2023-04-20 02:31:50"
