id,device_id,device_model,device_vendor
1,000007C9-E103-4EB5-9777-A9084D4952DF,"iPhone14,7",Apple
2,00002245-458F-4CDD-8533-B448CD43DBD2,"iPhone14,7",Apple
3,00012620-313A-4502-9F8D-8DAB7443215B,"iPhone14,5",Apple
4,000137bc-80de-4bb5-b61d-df7f217a4501,SM-F711N,samsung
5,000227D6-B782-4367-91C4-486B76DF9E37,"iPhone12,3",Apple
6,00025EE1-BA46-4853-8FDD-B991FABA328F,"iPhone12,8",Apple
7,00039F52-AC9A-4474-A645-DFE225C56753,"iPhone14,7",Apple
8,0004241A-2F35-4A01-841E-CDB19BC5D66C,"iPhone14,2",Apple
9,0004482B-03B0-4638-8C5A-C2E49C085C7F,"iPhone13,3",Apple
10,0004F43C-3A7A-4DE4-A02B-55AFDF07E9AD,"iPhone14,4",Apple
11,000531C8-0D69-4A1A-930D-5E54B484119A,"iPhone11,8",Apple
12,0005765A-4DAC-4D41-AD47-E64E035B0A97,"iPhone14,5",Apple
13,00057831-A672-4163-9C02-AB920A371F2C,"iPhone14,2",Apple
14,000615C4-F671-45BB-BEA4-7DC810606453,"iPhone14,5",Apple
15,000638C3-2BC2-4068-A482-861B526B2651,"iPhone14,5",Apple
16,00065B06-3B89-41AF-BFCB-F5A5FB3D3FCE,"iPhone14,5",Apple
17,0006bed8-512b-48f9-9b33-f79bb1e225a8,SM-A325N,samsung
18,0006bed8-512b-48f9-9b33-f79bb1e225a8,SM-S911N,samsung
19,00077002-3194-4c04-8ce0-2945041865f2,SM-A235N,samsung
20,0007b8a1-e0f1-4e61-8cbb-271113cd5b7f,SM-A826S,samsung
21,0007DE79-61E4-4654-905C-EECFEF67E453,"iPhone13,2",Apple
22,0008BE60-4C99-4E7C-BCEC-A9F1B00B0D12,"iPhone15,2",Apple
23,00097F8B-21E4-482E-80DC-7EE6105EEE91,"iPhone13,1",Apple
24,0009B464-970A-4030-9990-C28F90D4D0D8,"iPhone12,1",Apple
25,0009B757-8AE2-4E4B-B799-521677B3290C,"iPhone11,2",Apple
26,0009DD11-E7C4-4B65-AA8C-2FBECD327D23,"iPhone14,5",Apple
27,0009EC48-04B7-4A8B-AFD4-A5D42C09FE19,"iPhone14,5",Apple
28,000a016f-35ab-40e1-88ec-9256221a6f47,SM-A516N,samsung
29,000AF894-2EEA-4BDA-8821-C36AF8AB84C7,"iPhone14,4",Apple
30,000afda4-9a58-463f-97da-8d22a2db0923,SM-S908N,samsung
31,000B0BD2-AB93-4E5C-803B-F9CF4DFB2A02,"iPhone12,3",Apple
32,000b1ded-9974-414b-846c-2c55a8be62ab,SM-A908N,samsung
33,000B26EC-0B4B-421E-B317-A8BF7EB2E0DB,"iPhone15,2",Apple
34,000b791b-bcd4-480a-b824-54882bf6ebfb,SM-G986N,samsung
35,000BB5A2-F79B-4176-8907-D66D3B78E3D1,"iPhone14,4",Apple
36,000c0cf3-8a85-4e7c-b3de-ffcdbcc18d7c,SM-G991N,samsung
37,000C66B7-BD0A-4238-9560-A86E4A3A60A4,"iPhone15,2",Apple
38,000D743F-E1C6-47D8-BAFA-5766950F4C9B,"iPhone13,3",Apple
39,000E08E7-AF6E-45C6-965B-3F10359871F2,"iPhone13,1",Apple
40,000e195f-bf4e-4595-a85e-81b9c80187e4,SM-A826S,samsung
41,000EBC62-7431-4DC0-8BDD-FAC5B3744DBA,"iPhone15,2",Apple
42,000EE8B1-1085-40EF-AFAD-871E3B7AA667,"iPhone13,1",Apple
43,000f00c6-8c7c-451c-a4b3-16392c7be9a0,SM-F711N,samsung
44,000F27D3-8D58-4D5B-BD6F-78E51FB111EE,"iPhone12,8",Apple
45,000F3A58-F746-40A5-BB9E-39A3264CE6F9,"iPhone13,3",Apple
46,000F413F-CC57-4903-8E4A-3759971D1A69,"iPhone14,5",Apple
47,000faa06-c3c4-4fa2-a36e-1501d5b9462a,SM-F721N,samsung
48,000FCE97-73B9-424D-9B16-AA3159B67457,"iPhone14,7",Apple
49,000FE14E-1709-46DA-88CB-365DEFB51ED0,"iPhone14,5",Apple
50,001035FC-9C9E-41CF-B0D1-9BEA5E6E3614,"iPhone14,4",Apple
51,00104744-4A9F-45E7-BDF0-7DB64B86FEAD,"iPhone15,2",Apple
52,00105b0e-ebd7-45e1-b8f3-d3631d8c5e80,SM-S906N,samsung
53,0010a311-90e4-4684-9943-deb12dbe803e,SM-M236L,samsung
54,0010f595-8d72-46a3-a940-edc3fbbd28fb,SM-A235N,samsung
55,0011244f-e78e-44b2-8736-d661426deba0,SM-F711N,samsung
56,00114924-A1DA-4DA1-8CF0-2B30E72CA62B,"iPhone11,2",Apple
57,0011830e-88a2-4dbb-840a-fc72554808bf,SM-G991N,samsung
58,001247DD-C317-4995-8124-F3876DE9A095,"iPhone14,7",Apple
59,00132348-2ae9-4622-96ab-eabca19e1899,SM-G998N,samsung
60,001331A6-719B-47E6-A626-1F453508414D,"iPhone14,7",Apple
61,001384f2-7407-479c-a260-c5b525549274,SM-A336N,samsung
62,001387aa-cbf2-42e1-9914-53617bf20ebb,SM-G991N,samsung
63,001398E9-BBCE-4F6E-A669-6A9D72C77CE5,"iPhone14,5",Apple
64,0013AB65-8332-4806-9CA4-9B5B44986EF9,"iPhone14,7",Apple
65,0013C616-D3D6-4628-B928-25DD7E6ABB3F,"iPhone14,5",Apple
66,0013DE35-9F27-43B2-B90F-C1201936DAF4,"iPhone14,4",Apple
67,0013EDF4-B4ED-40B4-97B2-F2FDFE23E7F8,"iPhone15,2",Apple
68,0013f370-2e8c-47fd-8190-3e343b3ed63e,SM-A315N,samsung
69,001474AC-376F-4FAF-9861-85C8AEE45150,"iPhone14,4",Apple
70,0014f001-4757-48cf-a626-6bf17e910d26,SM-G975N,samsung
71,0014F40B-18CE-46A1-B88B-F8D0EC78CE7C,"iPhone12,8",Apple
72,00150b66-4b8c-44aa-9005-e4fbdda9506e,SM-G986N,samsung
73,00152d1f-f7f4-4607-948e-0a32b92ea32d,SM-N960N,samsung
74,00154AA9-5EB1-4C02-8528-F82F9FF20FCA,"iPhone14,3",Apple
