id,session_id,user_id,language,osname,osversion,versionname,device_id
1,4OzYh3seq3VKytpSn5pvQkZNQii1,,ko-KR,iOS,16.0,2.0.0,590E7C79-CBA0-44D8-8BE3-3C9BFABBBC74
2,8QXy31PQxbW9qLzq0Y1dhR8Ypm52,1046711,ko-KR,iOS,16.5.1,2.0.3,D5417226-F71B-4A9E-A180-CD072F2AB279
3,6bcea65d-9f40-46fc-888c-700fe707483f,1545130,ko,Android,13,2.0.5,6bcea65d-9f40-46fc-888c-700fe707483f
4,XVYNT6zfhFWqIg9omwg2AHDjTLx2,1224793,ko,Android,13,2.0.5,a05c1595-3e05-434b-8684-218b528bd725
5,XFB2SPiGfjbVhvJ3Q3DBsaT3m2B3,1329450,ko-US,iOS,16.5.1,2.0.5,EAC6C0B3-7CE8-40EA-8A91-9977C0BA5EF3
6,LztzUUFoRxdqTSPgQrX3MAAyNkM2,LztzUUFoRxdqTSPgQrX3MAAyNkM2,ko-KR,iOS,16.1,2.0.5,3F199073-9390-4137-B0B0-0DC4FC103009
7,d2b3ca43-4716-4852-b0e2-334848eb66f4,1018001,ko,Android,13,2.0.5,d2b3ca43-4716-4852-b0e2-334848eb66f4
8,414540BA-1980-4371-BF37-5BFA71158C4D,1475326,ko-KR,iOS,16.5.1,2.0.5,414540BA-1980-4371-BF37-5BFA71158C4D
9,AOMLgbQlhNUGnyvbsrdtbnUcOOc2,1142761,ko-KR,iOS,16.5.1,2.0.3,1D4EC07D-A6F2-49A6-A19C-B502B6D8C177
10,94860349-d46f-4e98-8505-e96877376cee,1537177,ko,Android,13,2.0.3,94860349-d46f-4e98-8505-e96877376cee
11,V3LLobUFnpeakqUYgsVUnaWEFoe2,1159545,ko-KR,iOS,16.5.1,2.0.3,87823989-7048-4F36-847A-BE5ECF854D87
12,496C4656-1079-4284-826B-5D9A8F359ECF,1556429,ko-KR,iOS,16.5.1,2.0.0,496C4656-1079-4284-826B-5D9A8F359ECF
13,cPM87By9qdTxpG7miXyopisBpHU2,1517211,ko,Android,13,2.0.5,8d86a4c2-82f1-4ee6-a552-030c724ec709
14,8gC5Nhbt0RZmh6p7FhslCcj3Znx2,1268670,ko-KR,iOS,16.5.1,2.0.5,973E0826-8656-4E5C-81AB-3E79149DE8E9
15,d693864e-577e-40a3-9477-b4826acac5c6,1046670,ko,Android,12,2.0.3,d693864e-577e-40a3-9477-b4826acac5c6
16,cQqk4NWM5WXUGgfk3iO4lQIYVXT2,1527252,ko-KR,iOS,16.5.1,2.0.5,7DE6E168-C9CD-4794-AAEA-57BB6C609344
17,u5j081Pg8xdqHJwC16uDx0LeTGK2,1428479,ko-KR,iOS,16.6,2.0.5,CE5A64D0-80CF-4952-B605-20B1DE443041
18,SQMCl7uDOwecmTP00FSMYoZOkwF2,1170190,ko-JP,iOS,16.0,2.0.5,2BE85800-9410-44DE-B107-03B5F3F8EE12
19,zzs9GsFAvyXJRhU2BqwaGS0iCVp2,979796,ko-KR,iOS,16.3.1,2.0.5,43D4C16D-21F7-4DE7-832A-2187EE1C88F6
