id,question_text,created_at
99,"가장 신비한 매력이 있는 사람은?","2023-03-31 15:22:53"
100,""이 사람으로 한 번 살아보고 싶다" 하는 사람은?","2023-03-31 15:22:53"
101,"미래의 틱톡커는?","2023-03-31 15:22:54"
102,"여기서 제일 특이한 친구는?","2023-03-31 15:22:54"
103,"가장 지켜주고 싶은 사람은?","2023-03-31 15:22:55"
104,"내 어깨를 내어줄 수 있는 사람은?","2023-03-31 15:22:56"
105,"볼 한 번 눌러보고 싶은 사람은?","2023-03-31 15:22:57"
106,"은근히 애교가 많을 것 같은 사람은?","2023-03-31 15:22:57"
107,"누가 봐도 좋아할 것 같은 호감인 사람은?","2023-03-31 15:22:57"
108,"가장 매력적인 사람은?","2023-03-31 15:22:58"
109,"와플을 좋아하는 친구는?","2023-03-31 15:22:58"
110,"내가 성별이 바뀐다면 만나고 싶은 사람은?","2023-03-31 15:22:58"
111,"마스크가 잘 어울리는 사람은?","2023-03-31 15:22:59"
112,"싸울 때 반드시 내 편에 두고 싶은 사람은?","2023-03-31 15:23:00"
113,"첫인상과 아예 반대라고 느낀 사람은?","2023-03-31 15:23:00"
114,"화나면 가장 무서울 것 같은 사람은?","2023-03-31 15:23:00"
115,"비율이 가장 좋은 사람은?","2023-03-31 15:23:00"
116,"대학가서 용될것 같은 사람은?","2023-03-31 15:23:01"
117,"조용한 매력이 있는 친구","2023-03-31 15:23:01"
118,"샤워 1시간 동안 할 것 같은 사람은?","2023-03-31 15:23:01"
119,"시간 약속을 제일 잘 지킬것 같은 사람은?","2023-03-31 15:23:02"
120,"본인 방이 제일 깨끗할거 같은 사람은?","2023-03-31 15:23:02"
121,"가장 어른스러운 사람은?","2023-03-31 15:23:03"
122,"비밀을 털어놓을 수 있는 사람은?","2023-03-31 15:23:03"
123,"의리하면 떠오르는 사람은?","2023-03-31 15:23:04"
124,"힘든 일이 있을때 털어놓고 얘기하고싶은 사람은?","2023-03-31 15:23:05"
125,"10년 후 1명에게만 연락할 수 있다면 누구한테 하고 싶어?","2023-03-31 15:23:05"
126,"가장 연애를 많이 했을 것 같은 사람은?","2023-03-31 15:23:06"
127,"같이 벚꽃보러 가고 싶은 사람은?","2023-03-31 15:23:06"
128,"결혼을 가장 빨리 할 것 같은 사람은?","2023-03-31 15:23:06"
129,"길에서 자주 번호를 따여봤을 것 같은 사람은?","2023-03-31 15:23:07"
130,"나를 웃게 만드는 사람은?","2023-03-31 15:23:08"
131,"눈빛이 제일 끌리는 사람은?","2023-03-31 15:23:09"
132,"내 이상형과 가장 가까운 사람은?","2023-03-31 15:23:09"
133,"내 친구에게 소개시켜주고 싶은 친구 한명은?","2023-03-31 15:23:10"
134,"복도에서 마주치면 괜히 한 번 더 보게되는 사람은?","2023-03-31 15:23:10"
135,"스킨십이 가장 능숙할 것 같은 사람은?","2023-03-31 15:23:11"
136,"자주 연락하면서 지내고 싶은 사람은?","2023-03-31 15:23:12"
137,"잘 때 전화하고 싶은 사람은?","2023-03-31 15:23:13"
138,"첫 키스를 가장 먼저 해봤을 것 같은 사람은?","2023-03-31 15:23:13"
139,"수능을 가장 잘 볼거 같은 사람은?","2023-03-31 15:23:14"
140,"머리가 제일 좋은 것 같은 사람은?","2023-03-31 15:23:15"
141,"은근 똑똑한 것 같은 사람은?","2023-03-31 15:23:16"
142,"학교생활을 가장 성실하게 하는 사람은?","2023-03-31 15:23:16"
143,"뭔가 스며드는 친구는?","2023-03-31 15:23:17"
144,"발냄새가 가장 향긋할 것 같은 사람은?","2023-03-31 15:23:17"
145,"은근히 신경쓰이는 사람은?","2023-03-31 15:23:18"
146,"본인과 가장 어울리는 옷을 입는 사람은?","2023-03-31 15:23:18"
147,"안경이 잘 어울리는 사람은?","2023-03-31 15:23:18"
148,"옷을 가장 센스있게 잘 입는 사람은?","2023-03-31 15:23:18"
149,"위아래 색깔 매치가 좋은 사람은?","2023-03-31 15:23:18"
150,"나중에 아티스트가 될 것 같은 사람은?","2023-03-31 15:23:18"
151,"모든 스포츠를 다 잘하는 사람은?","2023-03-31 15:23:19"
152,"숨겨진 댄싱 머신이라고 생각하는 사람은?","2023-03-31 15:23:19"
153,"어디 내놔도 노래로 꿀리지 않는 친구는?","2023-03-31 15:23:19"
154,"감성이 제일 풍부한 사람은?","2023-03-31 15:23:20"
155,"같이 있으면 마음이 따뜻해지는 사람은?","2023-03-31 15:23:21"
156,"늘 고마운 사람은?","2023-03-31 15:23:21"
157,"나에게 항상 응원과 용기를 주는 사람은?","2023-03-31 15:23:22"
158,"동생이 있다면 소개시켜주고 싶은 사람은?","2023-03-31 15:23:23"
159,"미워할 수 없는 친구는?","2023-03-31 15:23:24"
160,"성격이 가장 섬세한 사람은?","2023-03-31 15:23:24"
161,"화목한 가정을 꾸릴거 같은 사람은?","2023-03-31 15:23:25"
162,"연인에게 가장 잘 대해줄거 같은 사람은?","2023-03-31 15:23:26"
163,"10년 뒤에 가장 돈을 많이 벌었을 것 같은 사람은?","2023-03-31 15:23:26"
164,"가장 결혼을 성공적으로 할 것 같은 사람은?","2023-03-31 15:23:26"
165,"가장 센스있는 사람은?","2023-03-31 15:23:27"
166,"세상 제일 웃긴 사람은?","2023-03-31 15:23:27"
167,"성격이 가장 시원시원한 사람은?","2023-03-31 15:23:28"
168,"어른들에게 제일 잘 할것같은 사람은?","2023-03-31 15:23:28"
169,"축제에서 공연을 제일 잘 할거 같은 사람은?","2023-03-31 15:23:29"
170,"처음 보는 사람과 가장 빨리 친해질 것 같은 사람은?","2023-03-31 15:23:30"
171,"틱톡 팔로워가 가장 많을 것 같은 사람","2023-03-31 15:23:31"
172,"얘와 함께라면 어떤 상황이든 죽지는 않을 것 같다!","2023-04-01 11:09:12"
173,"가장 인사성이 좋은 사람은?","2023-04-01 11:09:12"
174,"사진보다 실물이 더 나은 사람은?","2023-04-01 11:09:13"
175,"뭘 입어도 느낌이 나는 사람은?","2023-04-01 11:09:13"
176,"무서운 놀이기구를 제일 잘탈것 같은 사람은?","2023-04-01 11:09:13"
177,"애교살이 매력적인 사람은?","2023-04-01 11:09:13"
178,"게임을 제일 잘할 것 같은 사람은?","2023-04-01 11:09:13"
179,"책을 제일 많이 읽은 것 같은 사람은?","2023-04-01 11:09:13"
180,"볼수록 매력있는 사람은?","2023-04-01 11:09:14"
181,"모두가 5살로 돌아간다면 가장 귀여울 것 같은 사람은?","2023-04-01 11:09:14"
182,"같이 캠핑가고 싶은 사람은?","2023-04-01 11:09:14"
183,"나의 자존감을 가장 많이 높여줬던 사람은?","2023-04-01 11:09:14"
184,"랩을 제일 잘할것 같은 사람은?","2023-04-01 11:09:14"
185,"나에게 차가 있다면 같이 드라이브 가고 싶은 사람은?","2023-04-01 11:09:14"
186,vote,"2023-04-01 11:09:15"
187,"같이 노래방을 가고 싶은 사람은?","2023-04-01 11:09:15"
188,"단기기억력 대박인 사람은?","2023-04-01 11:09:15"
189,"자신감이 제일 높을거 같은 사람은?","2023-04-01 11:09:15"
190,"팔씨름을 제일 잘할것 같은 사람은?","2023-04-01 11:09:16"
191,"많이 먹어도 몸무게가 그대로일 것 같은 사람은?","2023-04-01 11:09:16"
192,"늦은 밤, 같이 산책을 하고 싶은 사람은?","2023-04-01 11:09:16"
193,"모든 점이 완벽한 것 같은 사람은?","2023-04-01 11:09:16"
194,"스타벅스에서 책 읽으면서 라떼 마시는 이미지가 가장 어울리는 사람은?","2023-04-01 11:09:16"
195,"부러운 점이 제일 많은 사람은?","2023-04-01 11:09:17"
196,"따뜻하게 말해줘서 고마운 사람은?","2023-04-01 11:09:17"
197,"가장 잘생긴 사람은?","2023-04-01 11:09:17"
198,"안경을 벗으면 반전매력일 것 같은 사람은?","2023-04-01 11:09:17"
199,"무계획 여행을 떠났을 때 가장 재밌을 것 같은 사람은?","2023-04-01 11:09:17"
200,"과거에 첫인상이 특별했던 사람은?","2023-04-01 11:09:18"
201,"화장을 제일 잘하는 사람?","2023-04-01 11:09:18"
202,"같이 밥을 먹고싶은 사람은?","2023-04-01 11:09:18"
203,"티내지 않으면서 주위 사람들 다 배려하는 사람은?","2023-04-01 11:09:18"
204,"가장 줏대가 있는 사람은?","2023-04-01 11:09:18"
205,"항상 모두에게 좋은 말을 해주는 사람은?","2023-04-01 11:09:19"
206,"MBTI의 마스터일 것 같은 사람은?","2023-04-01 11:09:19"
207,"미래에 여기서 제일 유명해질거 같은 사람은?","2023-04-01 11:09:19"
208,"정장이 가장 잘 어울릴 것 같은 사람은?","2023-04-01 11:09:19"
209,"항상 좋은 냄새가 나는 사람은?","2023-04-01 11:09:20"
210,"친구들에게 가장 인정받는 사람은?","2023-04-01 11:09:20"
211,"앞으로의 인생을 가장 재미있게 살것 같은 사람은?","2023-04-01 11:09:20"
212,"같이 바다보러 떠나고싶은 사람은?","2023-04-01 11:09:20"
213,"가장 좋은 부모가 될것 같은 사람은?","2023-04-01 11:09:20"
214,"미래의 배우자가 제일 잘 생겼을거 같은 사람은?","2023-04-01 11:09:21"
215,"귀여운 행동을 제일 많이 하는 사람은?","2023-04-01 11:09:21"
216,"리더십이 가장 강한 사람은?","2023-04-01 11:09:21"
217,"하루 공부해서 남들 1주일 공부한 것 만큼 하는 사람은?","2023-04-01 11:09:21"
218,"아직 잘 모르지만, 더 알아가 보고싶은 사람은?","2023-04-01 11:09:21"
219,"마술이 눈속임이 아니라 마법이라고 생각할 것 같은 사람은?","2023-04-01 11:09:22"
220,"수다떨면 제일 재밌는 사람은?","2023-04-01 11:09:22"
221,"여기서 가장 예쁜 사람은?","2023-04-01 11:09:22"
222,"봄날 같이 피크닉 떠나고 싶은 사람은?","2023-04-01 11:09:22"
223,"무인도에 떨어진다면 같이 있고싶은 사람은?","2023-04-01 11:09:22"
224,"나중에 술을 제일 잘 마실거 같은 사람은?","2023-04-01 11:09:22"
225,"나 대신 흑기사를 해줄 것 같은 사람은?","2023-04-01 11:09:23"
226,"같이 밥 먹을 때 괜히 좀 더 챙겨주고 싶은 사람은?","2023-04-01 11:09:23"
227,"요리를 잘할거 같은 사람은?","2023-04-01 11:09:23"
228,"아이큐가 제일 높을것 같은 사람은?","2023-04-01 11:09:23"
229,"선생님들에게 가장 인기있는 사람은?","2023-04-01 11:09:23"
230,"같이 스몰토크 하다가 밤을 샐 것 같은 사람은?","2023-04-01 11:09:23"
231,"이번 주말에 같이 영화보고 싶은 사람은?","2023-04-01 11:09:23"
232,"취미가 제일 독특할거 같은 사람은?","2023-04-01 11:09:24"
233,"힘든 일이 있을때 제일 의지가 될것 같은 사람은?","2023-04-01 11:09:24"
234,"mbti에서 i를 가장 대표하는 사람은?","2023-04-01 11:09:24"
235,"가끔 생각나서 연락하고 싶은 사람은?","2023-04-01 11:09:24"
236,"고민을 잘 들어주는 사람은?","2023-04-01 11:09:24"
237,"이별 후 자기가 먼저 화해메시지 보낼 것 같은 사람?","2023-04-01 11:09:25"
238,"봐도 봐도 신기한 사람은?","2023-04-01 11:09:25"
239,"여기서 가장 귀여운 사람은?","2023-04-01 11:09:25"
240,"말투는 평범한데 왠지 귀여운 느낌이 드는 사람은?","2023-04-01 11:09:25"
241,"이 친구와 밤새 수다떨고 놀고싶은 사람은?","2023-04-01 11:09:25"
242,"츄리닝이 엄청 잘 어울리는 사람은?","2023-04-01 11:09:26"
243,"친구 중에 가장 좋은 학교에 갈거 같은 사람은?","2023-04-01 11:09:26"
244,"대학교에서 학생회장할 것 같은 사람은?","2023-04-01 11:09:26"
245,"매일 보고 싶은 사람은?","2023-04-01 11:09:26"
246,"제일 창의적인 사람은?","2023-04-01 11:09:26"
247,"피부가 제일 좋은거 같은 사람은?","2023-04-01 11:09:26"
248,"목소리가 좋은 사람은?","2023-04-01 11:09:27"
249,"봉사를 가장 잘 할거 같은 사람은?","2023-04-01 11:09:27"
250,"와이드한 느낌이 잘 어울리는 사람은?","2023-04-01 11:09:27"
251,"상견례 프리패스상인 사람은?","2023-04-01 11:09:27"
252,"손이 가장 이쁘게 생겼을거 같은 사람은?","2023-04-01 11:09:27"
253,"생각이 가장 깊은 사람은?","2023-04-01 11:09:28"
254,"여행을 가서 사진을 찍어달라고 맡기고 싶은 사람은?","2023-04-01 11:09:28"
255,"같이 요리를 해보고 싶은 사람은?","2023-04-01 11:09:28"
256,"항상 예쁜 신발을 신고 오는 사람은?","2023-04-01 11:09:28"
257,"가장 친해지고 싶었던 사람은?","2023-04-01 11:09:28"
258,"친구들에게 생일선물을 가장 많이 받을거 같은 사람은?","2023-04-01 11:09:29"
259,"러브레터를 기가 막히게 쓸 것 같은 사람은?","2023-04-01 11:09:29"
260,"필기 안해도 수업 내용을 다 기억할 것 같은 사람은?","2023-04-01 11:09:29"
261,"내가 가장 많이 웃겨줬던 사람?","2023-04-01 11:09:29"
262,"약속시간에 가장 먼저 나올 것 같은 사람은?","2023-04-01 11:09:29"
263,"내 생일에 꼭 연락왔으면 좋겠는 사람은?","2023-04-01 11:09:30"
264,"로맨스 영화 보면서 많이 울 것 같은 사람은?","2023-04-01 11:09:30"
265,"기쁜 일이 있을때 제일 먼저 알려주고 싶은 사람은?","2023-04-01 11:09:30"
266,"인사성이 가장 밝을 것 같은 사람은?","2023-04-01 11:09:30"
267,"여기서 가장 개성이 강한 사람은?","2023-04-01 11:09:31"
268,"웃는게 가장 이쁜 사람은?","2023-04-01 11:09:31"
269,"어떤 모임에서도 항상 리드를 할 것 같은 사람은?","2023-04-01 11:09:31"
270,"허당같은 모습이 귀여운 사람은?","2023-04-01 11:09:31"
271,"특이한 직업을 가지게 될 것 같은 사람은?","2023-04-01 11:09:32"
272,"길거리에서 틱톡/릴스 챌린지 잘할 것 같은 사람은?","2023-04-01 11:09:32"
273,"같이 쇼핑하면 가장 재밌는 사람은?","2023-04-01 11:09:32"
274,"가장 이성친구가 많을 것 같은 사람은?","2023-04-01 11:09:32"
275,"실수를 해도 화가 나지 않는 사람은?","2023-04-01 11:09:33"
276,"10년 후 미래에 같이 여행가보고 싶은 사람은?","2023-04-01 11:09:33"
277,"몇 년 전에 얘기했던걸 다 기억할 수 있을 것 같은 사람은?","2023-04-01 11:09:33"
278,"귀신의 집에서도 침착할 것 같은 사람은?","2023-04-01 11:09:33"
279,"계획을 짜임새있게 잘 세우는 사람은?","2023-04-01 11:09:33"
280,"소시지가 하나 남았을 때, 나눠줄 사람은?","2023-04-01 11:09:33"
281,"유튜버로 성공할 것 같은 사람은?","2023-04-01 11:09:34"
282,트렌드세터,"2023-04-01 11:09:34"
283,"10년이 지나도 늙지 않고 그대로일 것 같은 사람은?","2023-04-01 11:09:34"
284,"회사에 들어가면 매일 깔끔한 칼정장에 구두를 신고 향수를 뿌릴 것 같은 사람은?","2023-04-01 11:09:34"
285,"발표를 가장 당당하게 잘 할 것 같은 사람은?","2023-04-01 11:09:34"
286,"웃음이 가장 많은 사람은?","2023-04-01 11:09:35"
287,"2세가 가장 귀여울 것 같은 사람은?","2023-04-01 11:09:35"
