id,reason,created_at,question_id,user_id
1,"이 질문은 재미없어요","2023-04-19 06:20:35",250,837556
2,"이 질문은 재미없어요","2023-04-19 06:58:09",113,837672
3,"불쾌한 내용이 포함되어 있음","2023-04-19 06:58:17",113,837672
4,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 08:12:42",119,837922
5,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 08:12:50",119,837922
6,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 08:12:54",119,837922
7,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 09:00:35",283,837737
8,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 09:35:34",194,837697
9,기타,"2023-04-19 10:36:41",112,838119
10,기타,"2023-04-19 12:37:02",218,837565
11,"이 질문은 재미없어요","2023-04-19 12:54:31",130,837597
12,기타,"2023-04-19 13:05:34",110,838033
13,기타,"2023-04-19 13:05:39",110,838033
14,"선정적이거나 자극적인 질문","2023-04-19 13:29:13",178,837954
15,기타,"2023-04-19 13:35:49",158,838301
16,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 13:40:23",158,838301
17,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 13:49:31",262,838041
18,"이 질문은 재미없어요","2023-04-19 14:03:47",249,837598
19,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 15:01:15",209,838343
20,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 15:04:41",101,837950
21,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 15:09:19",101,837950
22,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 16:12:56",159,837922
23,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 16:13:09",159,837922
24,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 17:02:13",271,838541
25,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 17:12:17",132,837744
26,"이 질문은 재미없어요","2023-04-19 22:41:11",270,837598
27,"어떻게 이런 생각을? 이 질문 최고!","2023-04-19 23:25:21",228,838528
28,"불쾌한 내용이 포함되어 있음","2023-04-20 00:48:54",111,838342
29,기타,"2023-04-20 02:29:10",302,838514
30,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 03:48:41",275,837603
31,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 04:28:45",234,838780
32,기타,"2023-04-20 05:16:08",207,838630
33,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 05:26:41",177,838496
34,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 06:27:26",276,838793
35,기타,"2023-04-20 06:37:24",309,837682
36,"이 질문은 재미없어요","2023-04-20 07:41:43",122,838612
37,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 07:41:45",122,838612
38,기타,"2023-04-20 09:06:05",259,837672
39,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 09:06:50",245,838516
40,"이 질문은 재미없어요","2023-04-20 09:16:22",111,837797
42,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 09:39:12",163,837703
43,"불쾌한 내용이 포함되어 있음","2023-04-20 10:47:43",111,838743
44,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 11:45:39",319,838470
45,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:00:45",197,838496
46,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:00:49",235,838496
47,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:31:11",163,838168
48,기타,"2023-04-20 12:41:11",135,837757
49,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 12:56:16",314,838290
50,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:29:12",103,837615
51,"불쾌한 내용이 포함되어 있음","2023-04-20 13:31:26",116,837925
52,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:36:26",120,839000
53,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:36:30",317,839000
54,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:36:31",317,839000
55,"이 질문은 재미없어요","2023-04-20 13:39:23",256,838853
56,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:44:08",126,837694
57,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:44:14",141,837694
58,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 13:44:37",190,837694
59,"오타가 있음","2023-04-20 14:05:00",154,837764
60,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:07:04",237,837640
61,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:24:39",290,839152
62,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:25:10",290,839152
63,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 14:45:43",197,839016
64,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 15:13:18",129,838213
65,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 15:13:24",129,838213
66,기타,"2023-04-20 15:13:28",129,838213
67,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 15:27:14",197,839369
68,기타,"2023-04-20 15:31:58",281,838959
69,"불쾌한 내용이 포함되어 있음","2023-04-20 16:23:14",211,838178
70,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 16:27:50",311,839358
71,기타,"2023-04-20 16:41:14",319,838470
72,기타,"2023-04-20 16:43:52",147,839319
73,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 16:44:37",197,839319
74,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 17:18:46",181,839393
75,"오타가 있음","2023-04-20 22:09:46",295,837764
76,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 22:28:45",137,839369
77,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 22:29:53",107,839369
78,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 22:40:46",107,839369
80,"어떻게 이런 생각을? 이 질문 최고!","2023-04-20 23:35:32",266,839624
81,"불쾌한 내용이 포함되어 있음","2023-04-21 00:14:54",111,839245
82,기타,"2023-04-21 00:14:58",111,839245
83,"불쾌한 내용이 포함되어 있음","2023-04-21 00:16:18",274,839152
84,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 00:24:51",145,839369
85,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 00:24:55",226,839369
86,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 00:24:59",115,839369
87,기타,"2023-04-21 01:45:12",275,839393
88,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 02:02:00",181,838304
89,"오타가 있음","2023-04-21 02:33:27",243,837764
90,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 02:33:31",148,837764
91,"오타가 있음","2023-04-21 02:33:34",148,837764
92,"오타가 있음","2023-04-21 02:33:38",273,837764
93,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 02:45:15",101,839253
95,기타,"2023-04-21 03:16:20",174,839246
96,기타,"2023-04-21 03:18:48",141,839356
97,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 03:21:56",188,839451
98,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 05:09:20",156,838803
99,기타,"2023-04-21 05:58:23",154,839056
100,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 06:29:59",140,838932
101,"오타가 있음","2023-04-21 06:40:06",259,837764
102,"오타가 있음","2023-04-21 06:41:27",301,838803
104,"이 질문은 재미없어요","2023-04-21 08:00:38",225,839600
105,기타,"2023-04-21 08:06:12",290,839668
106,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 08:20:37",146,838939
107,"이 질문은 재미없어요","2023-04-21 09:04:32",227,839056
108,"이 질문은 재미없어요","2023-04-21 09:06:16",271,839056
109,"이 질문은 재미없어요","2023-04-21 09:06:32",227,839056
110,"이 질문은 재미없어요","2023-04-21 09:07:09",206,839056
111,"이 질문은 재미없어요","2023-04-21 09:10:47",246,839056
112,"이 질문은 재미없어요","2023-04-21 09:11:03",256,839056
113,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 09:45:47",265,837654
114,"이 질문은 재미없어요","2023-04-21 10:06:00",108,838995
115,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 10:15:32",265,838120
116,"이 질문은 재미없어요","2023-04-21 10:17:26",271,839056
117,기타,"2023-04-21 11:16:53",108,839276
118,"이 질문은 재미없어요","2023-04-21 11:34:41",296,839600
119,기타,"2023-04-21 12:05:34",225,839732
120,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:06:32",239,839369
121,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:29:49",162,839287
122,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:35:41",105,839319
123,"어떻게 이런 생각을? 이 질문 최고!","2023-04-21 12:38:19",166,839870
124,기타,"2023-04-21 13:05:08",107,839369
