user_id,class,gender,grade,school_id
1000000,1,M,1,1885
1000009,10,F,2,3869
1000012,10,F,1,5091
1000013,8,F,2,1743
1000015,2,F,3,5078
1000018,2,F,3,2523
1000019,6,F,3,4045
1000027,11,F,2,4499
1000028,13,M,1,4517
1000030,7,F,2,5278
1000032,1,F,3,139
1000035,6,F,3,1829
1000041,8,F,2,3265
1000044,2,F,2,5505
1000051,2,M,1,1859
1000061,8,M,1,5183
1000067,6,F,2,77
1000068,1,F,2,5605
1000069,10,F,2,1824
1000070,3,F,2,1656
1000072,2,F,1,5754
1000076,8,M,3,5486
1000079,4,M,1,99
1000080,13,M,3,5502
1000083,3,F,3,5095
1000084,5,F,2,305
1000100,4,F,3,1397
1000101,1,F,2,4493
1000112,4,F,2,5126
1000122,1,M,2,1884
1000124,1,F,1,91
1000126,3,M,2,2094
1000132,7,F,2,4845
1000137,1,M,3,5574
1000139,10,F,3,3181
1000141,2,F,2,5058
1000143,2,F,3,1763
1000145,8,F,1,5155
1000146,2,F,3,5184
1000153,4,F,3,4811
1000160,2,F,2,2669
1000164,6,F,3,5539
1000167,4,F,2,4803
1000168,2,F,3,1835
1000172,5,F,2,5178
1000175,1,F,2,3788
1000179,3,F,3,1755
1000185,4,M,3,5102
1000186,1,F,2,5174
1000193,4,F,3,2836
1000198,5,F,1,113
1000199,5,M,3,5449
1000204,1,F,2,5537
1000207,2,M,2,3071
1000213,10,M,1,4805
1000214,8,F,1,5615
1000216,6,F,2,5135
1000217,9,M,2,5048
1000219,5,M,3,304
1000221,3,M,3,2064
1000223,9,F,2,4505
1000228,8,F,3,4798
1000232,4,M,2,101
1000243,5,F,2,5160
1000247,6,M,3,2383
1000255,4,F,1,1646
1000257,3,F,3,4571
1000260,1,F,3,2072
1000261,6,M,2,1427
1000262,8,M,3,5539
1000267,7,M,1,4793
1000268,2,F,2,5420
1000270,8,F,3,1531
1000273,7,F,1,101
1000283,9,F,1,1721
1000286,2,F,2,4985
1000288,5,F,1,3241
1000289,7,F,2,4658
1000293,2,M,1,4805
1000294,7,M,1,366
1000296,10,F,2,5136
1000301,5,F,3,177
1000302,5,M,3,2795
1000309,1,M,3,3250
1000312,2,F,1,1489
1000315,3,F,2,178
1000320,2,F,2,2189
1000321,5,M,3,3174
1000322,9,F,1,4458
1000328,5,F,2,2633
1000330,6,F,2,5168
1000337,5,F,1,4775
1000341,3,F,3,4780
1000345,2,F,1,91
1000348,4,M,2,1501
1000353,6,F,1,5552
1000358,11,F,1,1835
1000359,7,M,3,1397
1000363,7,M,2,1721
1000364,6,M,3,104
1000366,6,F,3,2506
1000367,3,F,3,4774
1000368,3,M,3,4811
1000371,12,F,3,1930
1000377,11,F,3,1824
1000383,5,F,3,4778
1000385,7,F,1,5170
1000388,11,F,3,3115
1000390,3,M,2,3249
1000392,7,F,1,5126
1000394,1,F,2,3850
1000398,7,M,2,3234
1000401,11,M,2,5283
1000409,3,M,2,5394
1000413,1,F,1,2508
1000416,10,F,3,3181
1000417,11,F,3,5137
1000421,1,F,1,2508
1000424,6,M,2,77
1000438,1,F,2,1809
1000440,1,F,1,326
1000444,6,M,2,5260
1000445,1,M,2,5239
1000446,3,F,2,2519
1000447,6,F,1,2750
1000449,10,F,3,1826
1000450,3,F,3,3128
1000452,6,M,2,5313
1000455,3,M,1,99
1000456,8,F,3,3272
1000459,6,F,1,2766
1000464,2,F,2,3264
1000468,4,F,3,1746
1000470,1,F,1,44
1000472,5,M,1,4799
1000474,9,F,2,3250
1000478,4,M,2,3299
1000479,7,F,2,3301
1000487,6,F,2,1594
1000492,2,M,2,5308
1000494,1,F,2,1512
1000495,1,F,3,262
1000496,9,M,2,5594
1000497,7,F,2,291
1000508,18,F,2,5446
1000510,5,F,3,3541
1000512,8,M,1,5145
1000516,7,F,2,3852
1000518,1,F,2,3036
1000528,8,M,3,5486
1000549,5,F,3,5406
1000550,7,F,3,5315
1000552,4,F,2,5058
1000553,2,M,3,4055
1000554,1,M,2,2764
1000555,7,F,2,304
1000560,1,F,3,77
1000561,8,F,1,5173
1000562,2,M,2,1846
1000564,11,M,3,5420
1000565,2,F,2,1807
1000566,2,F,1,1815
1000570,10,F,3,3117
1000572,1,M,2,1512
1000579,3,F,2,5157
1000585,1,F,2,5070
1000586,8,F,2,5416
1000588,3,M,2,4701
1000590,4,M,1,5133
1000592,5,M,2,3105
1000596,5,M,2,4472
1000597,8,F,2,4456
1000598,6,M,2,4979
1000602,6,F,3,5566
1000606,6,F,3,3117
1000621,7,F,3,2069
1000629,2,F,2,304
1000632,5,F,2,1969
1000636,1,M,3,4457
1000646,2,F,2,2750
1000647,3,F,1,81
1000648,4,F,2,5095
1000655,5,M,2,4767
1000656,1,F,3,2622
1000657,7,F,2,1746
1000658,7,F,2,1930
1000676,2,F,3,4472
1000677,7,F,2,290
1000684,7,F,3,5539
1000686,6,M,2,1531
1000690,3,F,3,5607
1000691,3,F,3,3128
1000692,2,F,2,2790
1000694,1,F,2,3299
